"en_airport","ko_airport","iata_code","icao_code","region","en_country","ko_country","en_city","ko_city","time_diff","des"
Akulivik Airport,아쿨리비크 공항,AKV,CYKO,북미캐나다,Canada,캐나다,Akulivik,아쿨리빅,-14.0,아쿨리빅
Akure Airport,아쿠레 공항,AKR,DNAK,중동아프리카,Nigeria,나이지리아,Akure,아쿠레,-8.0,아쿠레
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri,아쿠레이리,-9.0,아쿠레이리
Akutan Airport,아쿠탄 공항,KQA,PAUT,북미캐나다,United States,미국,Akutan,아쿠탄,-19.0,아쿠탄
Al Abraq International Airport,알 아브라크 국제공항,LAQ,HLLQ,중동아프리카,Libya,리비아,Bayda,바이다,-7.0,바이다
Al Ain International Airport,알 아인 국제공항,AAN,OMAL,중동아프리카,United Arab Emirates,아랍에미레이트,Al Ain,알 아인,-5.0,알 아인
Al Alamain International Airport,알 알라마인 국제공항,DBB,HEAL,중동아프리카,Egypt,이집트,El Alamein,엘 알라메인,-7.0,엘 알라메인
Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,AZI,OMAD,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi,아부다비,-5.0,아부다비
Al Diwaniya Airport,알 디와니야 공항,n/a,n/a,중동아프리카,Iraq,이라크,Al-Qadisiyah,알카디시야,-6.0,알카디시야
Al Ghaydah Airport,알가이다 공항,AAY,n/a,중동아프리카,Yemen,예멘,Al Ghaydah,알 가이다,-6.0,알 가이다
Al Hamra Seaplane Base,알 함라 수상비행기 기지,RHR,n/a,중동아프리카,United Arab Emirates,아랍에미레이트,AlHamra,알함라,-5.0,알함라
Al Jawf Domestic Airport,알 자우프 국내선 공항,AJF,OESK,중동아프리카,Saudi Arabia,사우디아라비아,Sakakah,사카카,-6.0,사카카
Al Maktoum International Airport,알 막툼 국제 공항,DWC,OMDW,중동아프리카,United Arab Emirates,아랍에미레이트,Dubai,두바이,-5.0,두바이
Al Najaf International Airport,알 나자프 국제 공항,NJF,ORNI,중동아프리카,Iraq,이라크,Al Najaf,알 나자프,-6.0,알 나자프
Al Qadisiyah/Diwaniya Airport,알 카디시야/디와니야 공항,n/a,n/a,중동아프리카,Iraq,이라크,Al-Diwaniyah,알디와니야,-6.0,알디와니야
Al Qaisumah/Hafr Al Batin Airport,알 카이수마/하프르 알 바틴 공항,AQI,OEPA,중동아프리카,Saudi Arabia,사우디아라비아,Qaisumah-Hafar al-Batin,카이수마-하파르 알 바틴,-6.0,카이수마-하파르 알 바틴
Al Wajh Domestic Airport,알 와즈 국내선 공항,EJH,OEWJ,중동아프리카,Saudi Arabia,사우디아라비아,Al Wajh,알 와지흐,-6.0,알 와지흐
Alakanuk Airport,알라카누크 공항,AUK,PAUK,북미캐나다,United States,미국,Alakanuk,알라카누크,-18.0,알라카누크
Alamogordo White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,ALM,KALM,북미캐나다,United States,미국,Alamogordo,알라모고도,-15.0,알라모고도
Alar Talimu Airport,알라르 탈리무 공항,ACF,ZWAL,아시아태평양,China,중국,Alar,알라르,-1.0,알라르
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete,알바세테,-7.0,알바세테
Al-Baha Al-Aqiq Airport,알바하 알아키크 공항,ABT,OEBA,중동아프리카,Saudi Arabia,사우디아라비아,Al-Baha,알 바하,-6.0,알 바하
Albano Machado Airport,알바노 마차도 공항,NOV,FNHU,중동아프리카,Angola,앙골라,Huambo,후암보,-8.0,후암보
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany,올버니,-13.0,올버니
Albany International Airport,올버니 국제 공항,ALB,KALB,북미캐나다,United States,미국,Albany,올버니,-13.0,올버니
Alberni Valley Regional Airport,알버니 밸리 지역공항,YPB,n/a,북미캐나다,Canada,캐나다,Port Alberni,포트 앨버니,-16.0,포트 앨버니
Albert J. Ellis Airport,앨버트 J. 엘리스 공항,OAJ,KOAJ,북미캐나다,United States,미국,Jacksonville,잭슨빌,-13.0,잭슨빌
Albert Picardie Airport,알버트 피카르디 공항,BYF,LFAQ,유럽,France,프랑스,Albert,앨버트,-14.0,앨버트
Alberto Alcolumbre International Airport,알베르토 알콜룸브레 국제공항,MCP,SBMQ,중남미,Brazil,브라질,Macapa,마카파,-12.0,마카파
Alberto Carnevalli Airport,알베르토 카르네발리 공항,MRD,SVMD,중남미,Venezuela,베네수엘라,Merida,메리다,-15.0,메리다
Albrook International Airport,알브룩 국제공항,PAC,MPMG,중남미,Panama,파나마,Panama City,파나마 시티,-14.0,파나마 시티
Ambler Airport,앰블러 공항,ABL,PAFM,북미캐나다,United States,미국,Ambler,앰블러,-18.0,앰블러
Albuquerque International Sunport Airport,앨버커키 국제 선포트 공항,ABQ,KABQ,북미캐나다,United States,미국,Albuquerque,앨버커키,-15.0,앨버커키
Albury Airport,앨버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury,앨버리,1.0,앨버리
AlcantarI Airport,알칸타리 공항,SRE,SLAL,중남미,Bolivia,볼리비아,Sucre,수크레,-13.0,수크레
Aldan Airport,알단 공항,ADH,UEEA,유럽,Russia,러시아,Aldan,알단,1.0,알단
Alderney Airport,올더니 공항,ACI,EGJA,유럽,Guernsey,건지,Alderney,올더니,-8.0,올더니
Alegrete Airport,알레그레테 공항,ALQ,SSLT,중남미,Brazil,브라질,Alegrete,알레그레테,-12.0,알레그레테
Alejandro Velasco Astete International Airport,알레한드로 벨라스코 아스테테 국제공항,CUZ,SPZO,중남미,Peru,페루,Cusco,쿠스코,-14.0,쿠스코
Aleknagik Airport,알렉나직 공항,WKK,n/a,북미캐나다,United States,미국,Aleknagik,알렉나기크,-17.0,알렉나기크
Aleppo International Airport,알레포 국제 공항,ALP,OSAP,중동아프리카,Syria,시리아,Aleppo,알레포,-6.0,알레포
