"출발국가","출발공항","공항코드","운항일자","계획시간","실제시간","운항편명","환승승객"
"말레이시아","코타키나발루","BKI","2024-11-06","19:50","20:24","7C2507","4"
"태국","방콕/수완나품","BKK","2024-11-06","19:50","20:40","TW101","2"
"호주","시드니","SYD","2024-11-06","20:00","20:23","OZ601","25"
"중국","상하이/푸동","PVG","2024-11-06","20:00","20:30","OZ367","87"
"사이판","사이판","SPN","2024-11-06","20:00","20:30","TW307","6"
"홍콩","홍콩","HKG","2024-11-06","20:00","20:58","KE177","115"
"베트남","나트랑","CXR","2024-11-06","20:00","21:08","RS527","0"
"미국","시애틀","SEA","2024-11-06","20:05","20:28","DL196","111"
"말레이시아","코타키나발루","BKI","2024-11-06","20:05","20:46","OZ7375","3"
"필리핀","보홀 팡라오","TAG","2024-11-06","20:05","21:10","LJ043","3"
"필리핀","마닐라","MNL","2024-11-06","20:05","21:13","KE625","127"
"캐나다","토론토","YYZ","2024-11-06","20:10","20:32","AC062","160"
"베트남","나트랑","CXR","2024-11-06","20:10","20:51","TW157","1"
"베트남","나트랑","CXR","2024-11-06","20:10","21:23","KE467","13"
"대만","타이베이","TPE","2024-11-06","20:15","21:21","CI163","4"
"필리핀","세부","CEB","2024-11-06","20:20","20:42","7C2405","5"
"베트남","다낭","DAD","2024-11-06","20:20","20:49","TW127","6"
"하와이","호놀룰루","HNL","2024-11-06","20:20","20:57","OZ232","60"
"태국","방콕/수완나품","BKK","2024-11-06","20:20","21:06","OZ743","71"
"중국","하얼빈","HRB","2024-11-06","20:25","20:27","CZ684","1"
"베트남","나트랑","CXR","2024-11-06","20:25","21:02","RF555","0"
"필리핀","마닐라","MNL","2024-11-06","20:30","21:27","PR469","60"
"라오스","비엔티안","VTE","2024-11-06","20:35","20:53","7C4303","1"
"하와이","호놀룰루","HNL","2024-11-06","20:35","21:04","KE053","42"
"태국","방콕/수완나품","BKK","2024-11-06","20:35","21:31","KE659","130"
"베트남","호찌민","SGN","2024-11-06","20:35","21:39","TW121","6"
"일본","도쿄/하네다","HND","2024-11-06","20:40","21:00","KE719","14"
"미국","로스앤젤레스","LAX","2024-11-06","20:40","21:15","OZ204","266"
"대만","가오슝","KHH","2024-11-06","20:40","21:35","BR171","2"
"필리핀","보홀 팡라오","TAG","2024-11-06","20:45","21:11","7C4409","0"
"미국","샌프란시스코","SFO","2024-11-06","20:50","21:20","OZ212","115"
"베트남","나트랑","CXR","2024-11-06","20:50","21:47","ZE561","0"
"중국","베이징/서우두","PEK","2024-11-06","20:55","21:29","KE853","89"
"베트남","다낭","DAD","2024-11-06","20:55","21:43","ZE593","0"
"베트남","다낭","DAD","2024-11-06","20:55","22:25","RS511","0"
"미국","라스베이거스","LAS","2024-11-06","21:00","21:41","KE005","166"
"베트남","나트랑","CXR","2024-11-06","21:00","21:51","OZ7731","0"
"일본","오사카/ 간사이","KIX","2024-11-06","21:00","21:57","MM710","0"
"중국","상하이/푸동","PVG","2024-11-06","21:05","21:33","CZ370","5"
"베트남","다낭","DAD","2024-11-06","21:05","21:37","LJ081","0"
"중국","광저우","CAN","2024-11-06","21:10","21:49","OZ357","82"
"중국","칭다오","TAO","2024-11-06","21:10","21:53","SC4618","8"
"필리핀","세부","CEB","2024-11-06","21:10","22:47","OZ709","17"
"태국","방콕/수완나품","BKK","2024-11-06","21:15","22:04","7C2205","10"
"베트남","호찌민","SGN","2024-11-06","21:15","22:06","VJ861","0"
"베트남","다낭","DAD","2024-11-06","21:20","21:45","7C2903","15"
"베트남","달랏","DLI","2024-11-06","21:20","21:55","7C2311","0"
"베트남","하노이","HAN","2024-11-06","21:20","22:10","7C2803","5"
"홍콩","홍콩","HKG","2024-11-06","21:25","22:08","7C2107","20"
"하와이","호놀룰루","HNL","2024-11-06","21:25","22:19","HA460","38"
"일본","도쿄/하네다","HND","2024-11-06","21:30","22:13","OZ178","14"
"필리핀","클라크필드","CRK","2024-11-06","21:30","22:17","OZ707","25"
"마카오","마카오","MFM","2024-11-06","21:35","22:12","KE169","13"
"필리핀","클라크필드","CRK","2024-11-06","21:35","22:23","LJ037","7"
"호주","시드니","SYD","2024-11-06","21:40","22:36","TW501","13"
"베트남","나트랑","CXR","2024-11-06","21:50","22:21","BX787","0"
"호주","시드니","SYD","2024-11-06","21:50","22:30","JQ048","0"
"베트남","나트랑","CXR","2024-11-06","21:50","22:32","7C4907","1"
"홍콩","홍콩","HKG","2024-11-06","21:50","22:34","UO627","0"
"필리핀","세부","CEB","2024-11-06","21:50","22:42","5J129","0"
"중국","선양(심양)","SHE","2024-11-06","21:55","22:27","CZ672","9"
"필리핀","보홀 팡라오","TAG","2024-11-06","21:55","22:38","BX7135","0"
"미국","뉴어크","EWR","2024-11-06","21:55","22:40","YP131","6"
"중국","싼야","SYX","2024-11-06","22:05","22:49","TW621","0"
"중국","지난","TNA","2024-11-06","22:05","22:52","SC8004","3"
"홍콩","홍콩","HKG","2024-11-06","22:05","22:54","LJ701","1"
"중국","칭다오","TAO","2024-11-06","22:10","22:44","SC4620","4"
"홍콩","홍콩","HKG","2024-11-06","22:10","22:57","TW117","6"
"아랍에미리트","두바이","DXB","2024-11-06","22:20","22:59","EK325","2"
"필리핀","클라크필드","CRK","2024-11-06","22:25","23:09","7C4603","13"
"싱가포르","싱가포르","SIN","2024-11-06","22:35","23:15","TR897","1"
"베트남","다낭","DAD","2024-11-06","22:40","23:05","VJ875","0"
"일본","도쿄/하네다","HND","2024-11-06","22:40","23:17","MM808","0"
"중국","정저우","CGO","2024-11-06","22:45","23:11","CZ6010","1"
"중국","싼야","SYX","2024-11-06","22:55","23:18","TW9621","0"
"핀란드","헬싱키","HEL","2024-11-06","23:00","23:20","AY042","2"
"싱가포르","싱가포르","SIN","2024-11-06","23:10","23:31","KE647","12"
"싱가포르","싱가포르","SIN","2024-11-06","23:15","23:46","SQ605","2"
"중국","칭다오","TAO","2024-11-06","23:20","23:24","QW9902","0"
"아랍에미리트","두바이","DXB","2024-11-06","23:40","23:54","EK323","8"
"터키","이스탄불","IST","2024-11-07","00:10","00:12","TK091","4"
"카타르","도하","DOH","2024-11-07","00:20","00:34","QR859","19"
"아랍에미리트","아부다비","AUH","2024-11-07","00:20","01:24","EY827","1"
"중국","상하이/푸동","PVG","2024-11-07","00:30","00:30","ZE871","2"
"대만","타이베이","TPE","2024-11-07","00:30","01:01","IT603","0"
"에티오피아","아디스아바바/볼레","ADD","2024-11-07","00:30","01:14","ET673","6"
"말레이시아","코타키나발루","BKI","2024-11-07","01:05","01:03","AK1624","0"
"필리핀","마닐라","MNL","2024-11-07","01:15","01:17","5J187","0"
"베트남","푸꾸옥","PQC","2024-11-07","01:45","02:10","VJ975","0"
"베트남","나트랑","CXR","2024-11-07","01:50","03:05","VJ839","1"
"베트남","푸꾸옥","PQC","2024-11-07","02:20","03:25","VJ979","0"
"베트남","푸꾸옥","PQC","2024-11-07","05:00","04:58","VJ977","0"
"베트남","다낭","DAD","2024-11-07","06:15","06:29","VJ881","0"
"베트남","나트랑","CXR","2024-11-07","06:15","06:44","VN441","0"
"베트남","나트랑","CXR","2024-11-07","06:20","06:42","VJ837","0"
"베트남","하노이","HAN","2024-11-07","06:25","07:15","VJ963","2"
"일본","후쿠오카","FUK","2024-11-07","06:30","06:49","7C1401","0"
"베트남","나트랑","CXR","2024-11-07","06:45","07:09","VJ835","0"
"일본","후쿠오카","FUK","2024-11-07","06:50","07:11","LJ261","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-07","06:50","08:22","OD821","0"
"일본","오사카/ 간사이","KIX","2024-11-07","07:00","07:13","7C1301","0"
"한국","부산","PUS","2024-11-07","07:00","07:20","KE1405","138"
"베트남","다낭","DAD","2024-11-07","07:00","07:24","VJ879","0"
"일본","마쓰야마","MYJ","2024-11-07","07:00","07:26","7C1771","2"
"베트남","호찌민","SGN","2024-11-07","07:00","08:49","VJ865","0"
"일본","키타큐슈","KKJ","2024-11-07","07:05","07:22","LJ349","0"
"필리핀","보홀 팡라오","TAG","2024-11-07","07:15","07:34","7C4407","0"
"일본","도쿄/나리타","NRT","2024-11-07","07:15","07:40","ZE605","0"
"일본","오사카/ 간사이","KIX","2024-11-07","07:15","07:50","RS711","0"
"베트남","하이퐁","HPH","2024-11-07","07:15","08:04","VJ925","1"
"일본","시즈오카","FSZ","2024-11-07","07:20","07:36","7C1605","0"
"일본","삿포로","CTS","2024-11-07","07:20","07:43","7C1501","3"
"일본","후쿠오카","FUK","2024-11-07","07:20","07:48","RS727","0"
"중국","옌타이","YNT","2024-11-07","07:25","07:32","MU5050","2"
"일본","도쿄/나리타","NRT","2024-11-07","07:25","07:54","LJ201","0"
"일본","후쿠오카","FUK","2024-11-07","07:25","08:00","BX156","0"
"필리핀","마닐라","MNL","2024-11-07","07:30","07:44","PR467","17"
"일본","오사카/ 간사이","KIX","2024-11-07","07:30","07:46","MM712","0"
"베트남","호찌민","SGN","2024-11-07","07:30","07:52","OZ731","89"
"필리핀","마닐라","MNL","2024-11-07","07:35","07:57","OZ701","76"
"일본","도쿄/나리타","NRT","2024-11-07","07:35","07:59","BX164","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-07","07:35","08:59","D7505","0"
"일본","삿포로","CTS","2024-11-07","07:40","08:02","ZE621","0"
"일본","나고야","NGO","2024-11-07","07:40","08:10","LJ345","0"
"일본","히로시마","HIJ","2024-11-07","07:45","08:06","7C1611","8"
"베트남","다낭","DAD","2024-11-07","07:45","08:08","TW125","0"
"몽골","신 울란바토르","UBN","2024-11-07","07:45","08:12","KE197","77"
"필리핀","마닐라","MNL","2024-11-07","07:45","08:35","KE621","160"
"일본","구마모토","KMJ","2024-11-07","07:50","08:32","TW275","0"
"일본","고마쓰","KMQ","2024-11-07","07:55","08:14","KE775","0"
"중국","베이징/서우두","PEK","2024-11-07","07:55","08:16","KE859","60"
"일본","오사카/ 간사이","KIX","2024-11-07","07:55","08:19","TW281","3"
"중국","선양(심양)","SHE","2024-11-07","07:55","08:20","TW613","12"
"일본","나가사키","NGS","2024-11-07","08:00","08:21","KE797","1"
"일본","오사카/ 간사이","KIX","2024-11-07","08:00","08:22","LJ231","1"
"일본","후쿠오카","FUK","2024-11-07","08:00","08:28","KE787","32"
"베트남","하노이","HAN","2024-11-07","08:05","08:18","KE441","34"
"일본","오키나와","OKA","2024-11-07","08:05","08:24","KE755","6"
"일본","오사카/ 간사이","KIX","2024-11-07","08:05","08:34","OZ112","16"
"일본","도쿄/나리타","NRT","2024-11-07","08:05","08:41","LJ217","1"
"일본","나고야","NGO","2024-11-07","08:10","08:27","OZ122","18"
"일본","도쿄/나리타","NRT","2024-11-07","08:10","08:30","RS705","0"
"홍콩","홍콩","HKG","2024-11-07","08:10","08:32","KE171","67"
"일본","도쿄/나리타","NRT","2024-11-07","08:10","08:47","7C1101","0"
"중국","선전","SZX","2024-11-07","08:15","08:37","KE827","6"
"카자흐스탄","아스타나","NQZ","2024-11-07","08:15","09:03","KC210","7"
"중국","베이징/서우두","PEK","2024-11-07","08:20","08:42","OZ331","74"
"필리핀","마닐라","MNL","2024-11-07","08:20","08:55","5J185","0"
"중국","상하이/푸동","PVG","2024-11-07","08:25","08:47","KE893","77"
"일본","도쿄/나리타","NRT","2024-11-07","08:25","10:02","RF326","2"
"중국","광저우","CAN","2024-11-07","08:30","09:01","OZ369","43"
"일본","도쿄/나리타","NRT","2024-11-07","08:35","08:50","TW211","2"
"일본","삿포로","CTS","2024-11-07","08:35","09:00","LJ301","0"
"괌","괌","GUM","2024-11-07","08:35","09:08","TW303","0"
"일본","후쿠오카","FUK","2024-11-07","08:40","08:52","OZ132","6"
"일본","도쿄/나리타","NRT","2024-11-07","08:40","08:57","ZE601","0"
"중국","칭다오","TAO","2024-11-07","08:45","08:52","SC4622","5"
"일본","다카마쓰","TAK","2024-11-07","08:45","09:03","RS741","0"
"일본","가고시마","KOJ","2024-11-07","08:45","09:05","KE785","1"
"중국","선양(심양)","SHE","2024-11-07","08:50","09:11","KE831","52"
"싱가포르","싱가포르","SIN","2024-11-07","08:50","09:28","SQ607","7"
"중국","상하이/푸동","PVG","2024-11-07","08:55","09:07","MU5052","4"
"일본","오사카/ 간사이","KIX","2024-11-07","08:55","09:17","LJ233","0"
"중국","광저우","CAN","2024-11-07","08:55","09:19","KE865","103"
"중국","장사","CSX","2024-11-07","08:55","09:24","KE819","11"
"일본","도쿄/나리타","NRT","2024-11-07","09:00","09:09","OZ102","22"
"홍콩","홍콩","HKG","2024-11-07","09:00","09:16","OZ721","8"
"독일","프랑크푸르트","FRA","2024-11-07","09:00","09:31","OZ541","6"
"대만","타이베이","TPE","2024-11-07","09:00","09:37","KE185","17"
"일본","오사카/ 간사이","KIX","2024-11-07","09:00","09:44","KE723","44"
"일본","오사카/ 간사이","KIX","2024-11-07","09:05","09:20","ZE611","0"
"중국","상하이/푸동","PVG","2024-11-07","09:05","09:33","OZ361","51"
"중국","칭다오","TAO","2024-11-07","09:05","09:39","KE845","84"
"중국","허페이","HFE","2024-11-07","09:05","09:43","KE135","4"
"일본","오사카/ 간사이","KIX","2024-11-07","09:10","09:23","7C1303","0"
"일본","삿포로","CTS","2024-11-07","09:10","09:26","OZ174","10"
"일본","오사카/ 간사이","KIX","2024-11-07","09:10","09:29","BX172","0"
"중국","정저우","CGO","2024-11-07","09:10","09:35","KE131","21"
"미국","보스턴","BOS","2024-11-07","09:10","09:40","KE091","80"
"베트남","하노이","HAN","2024-11-07","09:10","09:59","OZ729","14"
"베트남","호찌민","SGN","2024-11-07","09:10","10:13","KE469","37"
"일본","도쿄/나리타","NRT","2024-11-07","09:15","09:33","ZE607","0"
"태국","방콕/수완나품","BKK","2024-11-07","09:15","09:41","KE657","63"
"괌","괌","GUM","2024-11-07","09:15","09:46","KE421","18"
"중국","시안","XIY","2024-11-07","09:15","09:47","KE811","17"
"일본","도쿄/나리타","NRT","2024-11-07","09:20","09:37","RS701","0"
"필리핀","칼리보","KLO","2024-11-07","09:20","09:45","TW139","0"
"중국","베이징/다싱","PKX","2024-11-07","09:25","09:27","CZ316","0"
"중국","옌지(연길)","YNJ","2024-11-07","09:25","09:51","KE117","3"
"일본","센다이","SDJ","2024-11-07","09:30","09:50","OZ152","13"
"일본","후쿠오카","FUK","2024-11-07","09:35","09:42","ZE641","0"
"일본","오키나와","OKA","2024-11-07","09:35","09:52","OZ172","5"
"미국","디트로이트","DTW","2024-11-07","09:35","09:55","DL158","138"
"태국","방콕/수완나품","BKK","2024-11-07","09:35","09:56","TG659","2"
"괌","괌","GUM","2024-11-07","09:35","09:57","LJ913","0"
"일본","미야자키","KMI","2024-11-07","09:40","10:00","OZ158","4"
"한국","부산","PUS","2024-11-07","09:40","10:14","KE1407","244"
"대만","타이베이","TPE","2024-11-07","09:40","10:27","LJ731","1"
"대만","타이베이","TPE","2024-11-07","09:45","10:05","OZ711","7"
"미국","애틀랜타","ATL","2024-11-07","09:45","10:23","KE035","157"
"홍콩","홍콩","HKG","2024-11-07","09:50","10:01","7C2101","0"
"미국","뉴욕/존에프케네디","JFK","2024-11-07","09:50","10:06","OZ222","96"
"중국","선전","SZX","2024-11-07","09:55","10:09","OZ371","3"
"마카오","마카오","MFM","2024-11-07","09:55","10:24","NX825","0"
"일본","도쿄/나리타","NRT","2024-11-07","09:55","10:39","KE703","18"
"일본","나고야","NGO","2024-11-07","10:00","10:19","7C1201","2"
"일본","오사카/ 간사이","KIX","2024-11-07","10:00","10:26","LJ237","0"
"우즈베키스탄","타슈켄트","TAS","2024-11-07","10:00","10:31","HY514","6"
"독일","프랑크푸르트","FRA","2024-11-07","10:00","10:38","TW403","2"
"미국","뉴욕/존에프케네디","JFK","2024-11-07","10:00","11:31","KE081","82"
"괌","괌","GUM","2024-11-07","10:05","10:11","7C3101","0"
"일본","니가타","KIJ","2024-11-07","10:05","10:29","KE763","6"
"중국","목단강","MDG","2024-11-07","10:05","10:35","KE119","3"
"중국","샤먼","XMN","2024-11-07","10:05","10:52","KE125","13"
"일본","삿포로","CTS","2024-11-07","10:05","11:35","KE765","21"
"사이판","사이판","SPN","2024-11-07","10:10","10:21","7C3211","5"
"중국","시안","XIY","2024-11-07","10:10","10:21","OZ347","7"
"일본","후쿠오카","FUK","2024-11-07","10:10","10:24","TW291","0"
"일본","오키나와","OKA","2024-11-07","10:10","10:29","LJ341","0"
"베트남","다낭","DAD","2024-11-07","10:10","10:33","VN431","2"
"중국","톈진","TSN","2024-11-07","10:15","10:51","KE805","62"
"미국","워싱턴","IAD","2024-11-07","10:15","11:19","KE093","92"
"일본","삿포로","CTS","2024-11-07","10:20","10:32","TW251","5"
"일본","도쿄/나리타","NRT","2024-11-07","10:20","10:37","TW213","2"
"이집트","카이로","CAI","2024-11-07","10:20","10:41","OZ557","2"
"일본","도쿄/나리타","NRT","2024-11-07","10:20","10:42","LJ205","0"
"캐나다","토론토","YYZ","2024-11-07","10:20","10:52","KE073","102"
"미국","댈러스포트워스","DFW","2024-11-07","10:20","11:04","KE031","121"
"중국","웨이하이","WEH","2024-11-07","10:30","10:44","7C8501","7"
"일본","후쿠오카","FUK","2024-11-07","10:35","10:47","7C1403","0"
"일본","도쿄/나리타","NRT","2024-11-07","10:35","10:49","7C1103","2"
"일본","오사카/ 간사이","KIX","2024-11-07","10:35","10:55","MM702","0"
"프랑스","파리/샤를드골","CDG","2024-11-07","10:35","10:55","OZ501","7"
"일본","나고야","NGO","2024-11-07","10:35","10:57","KE741","25"
"베트남","호찌민","SGN","2024-11-07","10:35","11:10","VN409","0"
"베트남","하노이","HAN","2024-11-07","10:35","11:24","VN417","4"
"베트남","다낭","DAD","2024-11-07","10:40","11:03","7C2901","0"
"중국","베이징/서우두","PEK","2024-11-07","10:40","11:08","CA710","2"
"대만","타이베이","TPE","2024-11-07","10:40","11:12","7C2601","0"
"미국","시카고/오헤어","ORD","2024-11-07","10:40","11:14","KE037","99"
"영국","런던/히드로","LHR","2024-11-07","10:40","11:27","KE907","5"
"중국","원저우","WNZ","2024-11-07","10:45","10:46","TW611","1"
"스페인","바르셀로나","BCN","2024-11-07","10:45","10:48","YP5245","0"
"라오스","비엔티안","VTE","2024-11-07","10:50","11:01","QV924","4"
"태국","방콕/수완나품","BKK","2024-11-07","10:50","11:16","TG657","0"
"일본","후쿠오카","FUK","2024-11-07","10:50","11:38","KE791","1"
"중국","상하이/푸동","PVG","2024-11-07","10:50","11:42","OZ363","18"
"베트남","호찌민","SGN","2024-11-07","10:50","11:50","VJ863","0"
"중국","광저우","CAN","2024-11-07","10:55","11:18","CZ340","5"
"마카오","마카오","MFM","2024-11-07","11:00","11:29","7C2001","1"
"이탈리아","로마","FCO","2024-11-07","11:00","11:36","TW405","4"
"베트남","하노이","HAN","2024-11-07","11:05","11:33","VJ961","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-07","11:05","11:44","MH067","3"
"일본","오사카/ 간사이","KIX","2024-11-07","11:05","11:46","KE727","1"
"일본","오이타","OIT","2024-11-07","11:05","11:52","7C1811","0"
"중국","상하이/푸동","PVG","2024-11-07","11:10","11:53","KE897","7"
"베트남","다낭","DAD","2024-11-07","11:10","12:04","KE457","8"
"일본","후쿠오카","FUK","2024-11-07","11:15","11:47","BX158","0"
"스페인","바르셀로나","BCN","2024-11-07","11:15","11:55","OZ511","3"
"중국","다롄(대련)","DLC","2024-11-07","11:20","11:40","CZ686","7"
"태국","방콕/돈므앙","DMK","2024-11-07","11:20","11:57","XJ701","0"
"몽골","신 울란바토르","UBN","2024-11-07","11:25","12:08","7C5203","7"
"멕시코","멕시코시티","MEX","2024-11-07","11:30","12:11","AM091","30"
"중국","우시","WUX","2024-11-07","11:35","12:02","MU2990","1"
"인도네시아","덴파사르","DPS","2024-11-07","11:35","12:08","GA871","1"
"일본","오키나와","OKA","2024-11-07","11:35","12:09","ZE631","1"
"일본","오키나와","OKA","2024-11-07","11:40","12:17","TW271","0"
"카자흐스탄","알마티","ALA","2024-11-07","11:40","12:23","KC910","17"
"대만","타이베이","TPE","2024-11-07","11:40","12:54","BR169","1"
"중국","지난","TNA","2024-11-07","11:45","12:11","SC8002","1"
"일본","구마모토","KMJ","2024-11-07","11:50","12:15","OZ160","3"
"중국","옌타이","YNT","2024-11-07","11:55","12:20","MU550","4"
"네덜란드","암스테르담","AMS","2024-11-07","11:55","12:35","KE925","10"
"일본","후쿠오카","FUK","2024-11-07","12:00","12:13","LJ263","0"
"대만","가오슝","KHH","2024-11-07","12:00","12:23","CI165","0"
"인도","델리","DEL","2024-11-07","12:05","12:19","AI313","0"
"프랑스","파리/샤를드골","CDG","2024-11-07","12:05","12:52","KE901","17"
"중국","장가계","DYG","2024-11-07","12:10","12:37","RS811","0"
"일본","오사카/ 간사이","KIX","2024-11-07","12:10","12:47","TW283","5"
"스페인","마드리드","MAD","2024-11-07","12:10","13:04","KE913","10"
"중국","난징","NKG","2024-11-07","12:15","12:39","MU580","1"
"중국","상하이/푸동","PVG","2024-11-07","12:15","12:46","CZ314","0"
"프랑스","파리/샤를드골","CDG","2024-11-07","12:15","12:56","AF267","0"
"헝가리","부다페스트","BUD","2024-11-07","12:15","13:00","KE961","1"
"중국","칭다오","TAO","2024-11-07","12:20","13:10","SC4610","3"
"중국","하얼빈","HRB","2024-11-07","12:20","13:14","OZ339","31"
"대만","타이베이","TPE","2024-11-07","12:25","12:57","CI161","3"
"홍콩","홍콩","HKG","2024-11-07","12:30","12:49","UO619","0"
"중국","항저우","HGH","2024-11-07","12:30","13:03","OZ359","6"
"중국","난징","NKG","2024-11-07","12:30","13:18","OZ349","16"
"싱가포르","싱가포르","SIN","2024-11-07","12:35","13:20","SQ611","0"
"일본","삿포로","CTS","2024-11-07","12:35","13:24","BX188","0"
"폴란드","바르샤바","WAW","2024-11-07","12:35","13:31","LO098","2"
"일본","도쿄/나리타","NRT","2024-11-07","12:40","13:12","OZ104","47"
"일본","오사카/ 간사이","KIX","2024-11-07","12:40","13:16","BX174","0"
"일본","후쿠오카","FUK","2024-11-07","12:40","13:19","OZ134","40"
