"year","month","airline","flight_arrivals","flight_departures","flight_total","passenger_arrivals","passenger_departures","passenger_total","cargo_arrivals","cargo_departures","cargo_total"
"2023","7",에어인디아 리미티드,17,17,34,3205,3450,6655,61,194,255
"2023","7",에어인천,147,146,293,0,0,0,1615,1310,2925
"2023","7",에어캐나다,62,62,124,17873,18485,36358,737,764,1501
"2023","7",에어프레미아,129,129,258,37115,38526,75641,1021,885,1905
"2023","7",에어홍콩,26,26,52,0,0,0,1002,1185,2187
"2023","7",에티오피아항공,59,59,118,6166,5460,11626,987,312,1300
"2023","7",에티하드 항공,31,31,62,9797,8979,18776,319,448,767
"2023","7",우즈베키스탄항공,32,32,64,7017,6709,13726,5,235,240
"2023","7",유나이티드항공,62,62,124,14779,16484,31263,623,980,1604
"2023","7",유피에스항공,110,110,220,0,0,0,1651,2458,4108
"2023","7",이스타항공,2,0,2,378,0,378,0,0,0
"2023","7",전일본공수,22,22,44,0,0,0,596,885,1480
"2023","7",제주항공,1636,1632,3268,251702,263768,515470,1013,986,1998
"2023","7",젯스타,14,14,28,3266,4543,7809,5,79,84
"2023","7",중국국제항공,210,210,420,23533,21834,45367,32,51,83
"2023","7",중국남방항공,354,353,707,49122,53728,102850,321,131,452
"2023","7",중국동방항공,379,379,758,44410,50885,95295,759,380,1139
"2023","7",중국센트럴항공,59,59,118,0,0,0,691,226,917
"2023","7",중국우정항공,22,22,44,0,0,0,118,112,230
"2023","7",중국화물항공,24,24,48,0,0,0,1832,1136,2968
"2023","7",중화항공,93,93,186,16828,20766,37594,567,615,1182
"2023","7",진에어,948,949,1897,194456,201710,396166,319,441,760
"2023","7",집에어,31,31,62,7859,6718,14577,214,341,555
"2023","7",천진항공,31,31,62,3831,3851,7682,0,0,0
"2023","7",청도항공,29,29,58,1990,2446,4436,6,4,10
"2023","7",춘추항공,17,17,34,2716,2565,5281,7,4,11
"2023","7",카고룩스 이탈리아 항공,14,14,28,0,0,0,554,413,967
"2023","7",카고룩스항공,14,14,28,0,0,0,561,1114,1674
"2023","7",카타르항공,49,49,98,12577,11856,24433,1224,1799,3023
"2023","7",칼리타항공,36,37,73,0,0,0,1022,102,1124
"2023","7",캐세이퍼시픽항공,118,118,236,31432,31600,63032,1418,382,1800
"2023","7",콴타스항공,13,13,26,2446,3797,6243,14,58,72
"2023","7",타이거에어 타이완,31,31,62,5341,4908,10249,3,30,33
"2023","7",타이에어아시아엑스,44,44,88,13477,14309,27786,250,125,374
"2023","7",타이항공,92,92,184,14793,18370,33163,806,366,1173
"2023","7",터키항공,58,58,116,16678,14750,31428,1131,1509,2640
"2023","7",투르크메니스탄,4,4,8,0,0,0,80,111,191
"2023","7",티웨이항공,900,899,1799,173797,180783,354580,417,412,829
"2023","7",폴라에어카고,129,131,260,0,0,0,3881,4977,8858
"2023","7",폴란드항공,41,41,82,11381,10290,21671,231,371,602
"2023","7",피치항공,124,123,247,21319,20628,41947,0,10,10
"2023","7",핀에어,31,31,62,10291,9444,19735,492,474,966
"2023","7",필리핀에어아시아,80,80,160,10847,12104,22951,5,24,29
"2023","7",필리핀항공,155,155,310,24714,29639,54353,38,124,163
"2023","7",하와이안 항공,23,23,46,5998,6356,12354,156,325,481
"2023","7",홍콩익스프레스,55,55,110,11399,11168,22567,6,10,17
"2023","7",홍콩항공,18,18,36,2842,2698,5540,5,0,5
"2023","7",FedEX항공,131,129,260,0,0,0,3089,2735,5824
"2023","7",HFM,1,1,2,81,79,160,0,0,0
"2023","7",KLM네덜란드항공,61,61,122,5513,5663,11176,163,212,376
"2023","8",가루다인도네시아,25,25,50,5506,4242,9748,45,142,187
"2023","8",그레이터베이항공,18,18,36,2420,2206,4626,18,10,29
"2023","8",대한항공,3537,3525,7062,628894,605015,1233909,50501,50505,101006
"2023","8",델타항공,123,123,246,29244,36249,65493,113,773,886
"2023","8",디에이치엘항공,16,16,32,0,0,0,281,0,281
"2023","8",라오항공,22,22,44,2670,2632,5302,2,3,5
"2023","8",로얄브루나이항공,14,14,28,1091,1006,2097,0,2,2
"2023","8",루프트한자 독일항공,95,95,190,17851,19021,36872,842,1450,2292
"2023","8",말레이시아 항공,28,28,56,5952,4891,10843,227,279,506
"2023","8",몽골항공,99,98,197,18020,16642,34662,18,141,159
"2023","8",미얀마국제항공,13,13,26,1370,1119,2489,12,2,14
"2023","8",미얀마항공,8,8,16,1166,5,1171,2,4,7
"2023","8",바틱 에어 말레이시아,31,31,62,4177,3612,7789,0,0,0
"2023","8",뱀부 항공,29,29,58,5238,4638,9876,8,11,20
"2023","8",베트남항공,186,186,372,44638,37372,82010,964,907,1871
"2023","8",비엣젯항공,486,484,970,107319,91786,199105,550,116,667
"2023","8",사우디아항공,18,19,37,3964,5624,9588,30,143,173
"2023","8",사천항공,13,13,26,1754,1578,3332,0,4,4
"2023","8",산동항공,194,194,388,26282,22233,48515,38,5,43
"2023","8",상하이항공,30,30,60,4345,3926,8271,3,1,4
"2023","8",샤먼항공,30,30,60,4796,4838,9634,29,17,46
"2023","8",세부퍼시픽항공,102,103,205,17641,14175,31816,9,35,43
"2023","8",스리랑카항공,9,9,18,2104,1618,3722,44,91,136
"2023","8",스카이 앙코르 항공,16,16,32,2636,1927,4563,0,1,2
"2023","8",스쿠트 항공,40,40,80,13373,12226,25599,78,92,170
"2023","8",실크웨이웨스트항공,11,11,22,0,0,0,465,893,1359
"2023","8",심천항공,51,51,102,5477,5459,10936,131,6,137
"2023","8",싱가포르항공,146,145,291,31431,28710,60141,1130,1425,2555
"2023","8",아메리제트,12,12,24,0,0,0,73,330,403
"2023","8",아메리칸항공,31,31,62,7213,8796,16009,112,227,339
"2023","8",아시아나항공,2097,2096,4193,418771,401060,819831,22846,23671,46517
"2023","8",아틀라스항공,181,198,379,0,0,0,2799,535,3333
"2023","8",안토노프항공,1,0,1,0,0,0,73,0,73
"2023","8",에미레이트항공,32,33,65,14347,15378,29725,275,506,782
"2023","8",에바항공,80,80,160,18415,17967,36382,467,450,916
"2023","8",에어 뉴질랜드,10,11,21,1940,1839,3779,32,141,173
"2023","8",에어 아스타나,26,26,52,5370,5160,10530,5,74,79
"2023","8",에어 프랑스,31,31,62,9876,10060,19936,393,339,732
"2023","8",에어로 몽골리아,14,14,28,1737,1175,2912,0,0,0
"2023","8",에어로로직,30,30,60,0,0,0,1298,164,1462
"2023","8",에어마카오,31,31,62,4462,4394,8856,17,12,29
"2023","8",에어부산,356,357,713,72462,68478,140940,0,2,2
"2023","8",에어서울,396,396,792,74864,71794,146658,54,11,64
"2023","8",에어아시아엑스,45,45,90,14247,12223,26470,298,349,646
"2023","8",에어인디아 리미티드,18,18,36,3856,2924,6780,60,205,265
"2023","8",에어인천,158,160,318,0,0,0,1677,1523,3200
"2023","8",에어캐나다,61,61,122,16359,18286,34645,579,708,1288
"2023","8",에어프레미아,126,125,251,35608,35836,71444,893,1055,1948
"2023","8",에어홍콩,27,27,54,0,0,0,958,1136,2093
"2023","8",에티오피아항공,56,57,113,4950,4609,9559,973,324,1296
"2023","8",에티하드 항공,31,31,62,9802,9876,19678,320,489,809
"2023","8",우즈베키스탄항공,32,32,64,7144,6879,14023,20,204,224
"2023","8",유나이티드항공,62,62,124,13068,16191,29259,242,941,1183
"2023","8",유피에스항공,117,120,237,0,0,0,1519,2554,4073
"2023","8",이스타항공,1,0,1,184,0,184,0,0,0
"2023","8",전일본공수,20,20,40,0,0,0,602,680,1283
"2023","8",제주항공,1663,1658,3321,268537,252136,520673,1020,1075,2095
"2023","8",젯스타,18,18,36,5577,5350,10927,4,123,127
"2023","8",중국국제항공,198,198,396,28649,25742,54391,38,56,94
"2023","8",중국남방항공,378,377,755,60934,59468,120402,426,158,584
"2023","8",중국동방항공,369,369,738,53567,51542,105109,691,360,1051
"2023","8",중국센트럴항공,82,82,164,0,0,0,844,351,1195
"2023","8",중국우정항공,19,19,38,0,0,0,102,98,200
"2023","8",중국화물항공,26,26,52,0,0,0,1870,1067,2937
"2023","8",중화항공,93,93,186,18933,19961,38894,604,486,1090
"2023","8",진에어,960,958,1918,204654,197337,401991,407,464,871
"2023","8",집에어,31,31,62,8543,6791,15334,226,322,548
"2023","8",천진항공,31,31,62,4271,4030,8301,0,2,2
"2023","8",청도항공,30,30,60,3712,2940,6652,14,4,18
"2023","8",춘추항공,18,18,36,2949,2681,5630,1,2,3
"2023","8",카고룩스 이탈리아 항공,8,8,16,0,0,0,259,235,493
"2023","8",카고룩스항공,13,13,26,0,0,0,346,904,1250
"2023","8",카타르항공,47,46,93,12076,12219,24295,1325,1761,3085
"2023","8",칼리타항공,38,38,76,0,0,0,980,77,1058
"2023","8",캐세이퍼시픽항공,117,117,234,29531,28644,58175,1353,460,1812
"2023","8",콴타스항공,14,14,28,3586,3395,6981,13,57,71
"2023","8",타이거에어 타이완,31,31,62,5384,4786,10170,1,21,22
"2023","8",타이에어아시아엑스,45,44,89,15059,14062,29121,150,141,291
"2023","8",타이항공,93,93,186,21990,19142,41132,699,461,1160
"2023","8",터키항공,57,56,113,16145,15603,31748,1116,1585,2701
"2023","8",투르크메니스탄,5,5,10,0,0,0,98,142,240
"2023","8",티웨이항공,913,910,1823,184080,177405,361485,494,383,878
"2023","8",폴라에어카고,139,138,277,0,0,0,4370,4641,9011
"2023","8",폴란드항공,40,41,81,10779,11348,22127,231,359,591
"2023","8",피치항공,112,113,225,19857,18922,38779,0,9,9
"2023","8",핀에어,31,31,62,9614,9860,19474,549,402,951
"2023","8",필리핀에어아시아,77,77,154,12211,10162,22373,6,21,27
"2023","8",필리핀항공,153,153,306,29753,26505,56258,88,268,356
"2023","8",하와이안 항공,21,21,42,5376,5751,11127,66,295,362
"2023","8",홍콩익스프레스,80,80,160,16843,16750,33593,10,8,18
"2023","8",홍콩항공,18,18,36,2644,2811,5455,7,0,7
"2023","8",FedEX항공,134,135,269,0,0,0,2949,2743,5692
"2023","8",KLM네덜란드항공,59,59,118,5148,4918,10066,135,237,372
"2023","9",가루다인도네시아,25,25,50,4150,4251,8401,71,174,245
"2023","9",그레이터베이항공,27,27,54,2376,2562,4938,32,14,46
"2023","9",대한항공,3415,3428,6843,556341,591950,1148291,50213,52504,102717
"2023","9",델타항공,119,121,240,27480,34902,62382,136,924,1060
"2023","9",디에이치엘항공,9,9,18,0,0,0,130,0,130
"2023","9",라오항공,23,23,46,2072,2565,4637,1,22,23
"2023","9",로얄브루나이항공,13,13,26,1028,1061,2089,0,1,2
"2023","9",루프트한자 독일항공,91,92,183,14396,15912,30308,1007,1758,2765
"2023","9",말레이시아 항공,29,29,58,4657,6050,10707,318,390,708
"2023","9",몽골항공,73,74,147,11217,11321,22538,19,171,190
"2023","9",미얀마국제항공,14,14,28,1325,1174,2499,15,2,17
"2023","9",미얀마항공,5,5,10,733,7,740,3,1,4
"2023","9",바틱 에어 말레이시아,30,30,60,3646,3686,7332,0,0,0
"2023","9",뱀부 항공,24,24,48,3307,3722,7029,20,14,33
"2023","9",베트남항공,185,185,370,33952,39896,73848,1019,821,1839
"2023","9",비엣젯항공,463,464,927,76108,75326,151434,629,180,810
"2023","9",사우디아항공,17,17,34,3062,4629,7691,12,149,162
"2023","9",사천항공,13,13,26,1658,1513,3171,0,6,6
"2023","9",산동항공,210,210,420,20657,19556,40213,49,7,56
"2023","9",상하이항공,30,30,60,3457,3385,6842,24,2,26
"2023","9",샤먼항공,30,30,60,4651,3922,8573,29,26,55
"2023","9",세부퍼시픽항공,99,98,197,12815,13366,26181,13,57,70
"2023","9",스리랑카항공,8,8,16,1781,1433,3214,60,91,151
"2023","9",스카이 앙코르 항공,16,16,32,1421,1624,3045,2,0,2
"2023","9",스쿠트 항공,38,38,76,11322,12208,23530,90,132,221
"2023","9",실크웨이웨스트항공,10,10,20,0,0,0,482,951,1432
"2023","9",심천항공,48,48,96,6206,5938,12144,113,12,126
"2023","9",싱가포르항공,142,142,284,31176,33088,64264,1375,1592,2967
"2023","9",아메리제트,13,13,26,0,0,0,112,420,531
"2023","9",아메리칸항공,30,30,60,7424,8449,15873,117,225,342
"2023","9",아시아나항공,2004,2002,4006,337577,366662,704239,23519,25293,48812
"2023","9",아틀라스항공,182,194,376,0,0,0,3048,941,3989
"2023","9",에미레이트항공,30,29,59,13637,14134,27771,250,356,605
"2023","9",에바항공,78,78,156,16100,18553,34653,497,616,1113
"2023","9",에어 뉴질랜드,11,11,22,2264,2400,4664,96,176,272
"2023","9",에어 아스타나,26,26,52,4760,4629,9389,10,104,114
"2023","9",에어 프랑스,30,30,60,8992,9671,18663,388,323,710
"2023","9",에어로 몽골리아,13,13,26,643,716,1359,0,0,0
"2023","9",에어로로직,30,29,59,0,0,0,1356,182,1538
"2023","9",에어마카오,32,32,64,4061,4421,8482,17,10,27
"2023","9",에어부산,347,347,694,61522,67513,129035,1,12,13
"2023","9",에어서울,329,330,659,57187,61954,119141,58,23,81
"2023","9",에어아시아엑스,43,43,86,10504,11264,21768,311,217,528
"2023","9",에어인디아 리미티드,12,12,24,2037,2074,4111,22,131,153
"2023","9",에어인천,137,135,272,0,0,0,1517,1429,2946
"2023","9",에어캐나다,60,60,120,17250,17499,34749,546,711,1257
"2023","9",에어프레미아,111,111,222,29206,32302,61508,893,927,1820
"2023","9",에어홍콩,24,24,48,0,0,0,1066,1039,2104
"2023","9",에티오피아항공,55,54,109,4300,4527,8827,828,414,1242
"2023","9",에티하드 항공,30,30,60,8844,9005,17849,298,423,721
"2023","9",우즈베키스탄항공,32,32,64,6612,5978,12590,22,321,343
"2023","9",원통화물항공,23,23,46,0,0,0,344,185,529
"2023","9",유나이티드항공,60,60,120,12344,15665,28009,292,960,1251
"2023","9",유피에스항공,115,117,232,0,0,0,1443,2536,3978
"2023","9",이스타항공,53,55,108,7855,10246,18101,0,0,0
"2023","9",전일본공수,24,24,48,0,0,0,592,994,1586
"2023","9",제주항공,1557,1553,3110,232246,241540,473786,1021,1113,2133
"2023","9",젯스타,15,15,30,4501,4270,8771,7,116,123
"2023","9",중국국제항공,220,220,440,31199,27399,58598,53,69,123
"2023","9",중국남방항공,403,403,806,56957,53263,110220,535,132,667
"2023","9",중국동방항공,431,428,859,47741,48034,95775,758,518,1276
"2023","9",중국센트럴항공,75,75,150,0,0,0,962,352,1314
"2023","9",중국우정항공,17,17,34,0,0,0,124,93,217
"2023","9",중국화물항공,18,18,36,0,0,0,1416,927,2343
"2023","9",중화항공,91,91,182,14690,18657,33347,525,535,1060
"2023","9",진에어,808,810,1618,165644,173496,339140,506,746,1252
"2023","9",집에어,30,30,60,7486,6737,14223,207,336,543
"2023","9",천진항공,22,22,44,2492,2337,4829,0,1,1
"2023","9",청도항공,26,26,52,2259,2330,4589,14,4,18
"2023","9",춘추항공,18,18,36,2923,2607,5530,0,3,3
"2023","9",카고룩스 이탈리아 항공,12,12,24,0,0,0,235,519,754
"2023","9",카고룩스항공,12,12,24,0,0,0,420,1109,1529
"2023","9",카타르항공,47,47,94,11377,11858,23235,1431,2220,3651
"2023","9",칼리타항공,40,39,79,0,0,0,932,120,1051
"2023","9",캐세이퍼시픽항공,111,111,222,21881,22750,44631,1435,453,1887
"2023","9",콴타스항공,13,13,26,3507,3379,6886,19,72,91
"2023","9",타이거에어 타이완,30,30,60,4652,4531,9183,1,36,37
"2023","9",타이에어아시아엑스,43,43,86,11508,13044,24552,171,237,408
"2023","9",타이항공,87,87,174,11279,14877,26156,830,465,1295
"2023","9",터키항공,56,57,113,16096,16326,32422,1136,1667,2803
"2023","9",투르크메니스탄,4,4,8,0,0,0,54,129,183
"2023","9",티웨이항공,897,900,1797,160954,169926,330880,606,612,1217
"2023","9",폴라에어카고,132,131,263,0,0,0,4328,4672,9000
"2023","9",폴란드항공,39,39,78,9707,10765,20472,219,386,605
"2023","9",피치항공,121,121,242,19427,19710,39137,0,10,10
"2023","9",핀에어,29,29,58,8241,8888,17129,490,441,931
"2023","9",필리핀에어아시아,65,65,130,7590,7880,15470,2,20,22
"2023","9",필리핀항공,142,142,284,18954,22988,41942,36,232,268
"2023","9",하와이안 항공,23,23,46,6045,6266,12311,54,334,388
"2023","9",홍콩익스프레스,74,74,148,11120,11984,23104,17,16,32
"2023","9",홍콩항공,16,16,32,1976,2368,4344,6,0,6
"2023","9",FedEX항공,127,126,253,0,0,0,2950,2546,5496
"2023","9",KLM네덜란드항공,52,52,104,4335,4713,9048,89,187,275
"2023","10",가루다인도네시아,27,27,54,5892,4835,10727,85,202,287
"2023","10",그레이터베이항공,31,31,62,4271,3873,8144,31,13,43
"2023","10",내셔널항공,1,1,2,0,0,0,0,98,98
"2023","10",대한항공,3586,3574,7160,657842,609599,1267441,52279,52544,104823
"2023","10",델타항공,123,124,247,32897,33405,66302,114,1131,1245
"2023","10",디에이치엘항공,9,9,18,0,0,0,119,0,119
"2023","10",라오항공,31,31,62,3863,3877,7740,1,26,27
"2023","10",로얄브루나이항공,13,13,26,1132,1013,2145,0,3,4
"2023","10",루프트한자 독일항공,99,98,197,19659,15873,35532,880,1684,2565
"2023","10",말레이시아 항공,32,32,64,7805,7025,14830,300,336,636
"2023","10",몽골항공,60,59,119,9681,7414,17095,56,154,210
"2023","10",미얀마국제항공,16,16,32,1356,1461,2817,10,3,13
"2023","10",미얀마항공,3,3,6,443,0,443,1,1,2
"2023","10",바틱 에어 말레이시아,31,31,62,4222,3650,7872,0,0,0
"2023","10",뱀부 항공,23,23,46,3742,3487,7229,14,13,26
"2023","10",베트남항공,199,199,398,47411,44209,91620,1260,776,2036
"2023","10",비엣젯항공,459,459,918,88930,71844,160774,641,206,847
"2023","10",사우디아항공,18,18,36,4615,3604,8219,33,184,217
"2023","10",사천항공,13,13,26,1425,1485,2910,0,4,4
"2023","10",산동항공,215,215,430,19762,21440,41202,78,7,85
"2023","10",상하이항공,24,24,48,2727,2945,5672,16,3,19
"2023","10",샤먼항공,31,31,62,4613,4435,9048,37,42,79
"2023","10",세부퍼시픽항공,103,103,206,17955,14228,32183,13,69,81
"2023","10",스리랑카항공,9,9,18,1968,1461,3429,70,103,173
"2023","10",스카이 앙코르 항공,17,17,34,2391,2082,4473,0,1,1
"2023","10",스쿠트 항공,39,38,77,13369,11807,25176,52,129,181
"2023","10",실크웨이웨스트항공,9,9,18,0,0,0,499,989,1488
"2023","10",심천항공,53,53,106,6252,6353,12605,94,6,100
"2023","10",싱가포르항공,138,139,277,38472,36689,75161,1268,1475,2743
"2023","10",아메리제트,12,12,24,0,0,0,55,330,385
"2023","10",아메리칸항공,31,31,62,8486,8637,17123,86,285,371
"2023","10",아시아나항공,2072,2065,4137,407146,370942,778088,25063,25547,50611
"2023","10",아틀라스항공,188,189,377,0,0,0,2595,614,3208
"2023","10",안토노프항공,0,1,1,0,0,0,0,42,42
"2023","10",에미레이트항공,31,32,63,15226,15782,31008,229,412,641
"2023","10",에바항공,80,80,160,21924,20275,42199,522,528,1051
"2023","10",에어 뉴질랜드,11,11,22,2262,2885,5147,65,163,228
"2023","10",에어 아스타나,27,27,54,5157,4142,9299,10,127,138
"2023","10",에어 프랑스,31,31,62,10118,9113,19231,390,329,718
"2023","10",에어로 몽골리아,13,13,26,1007,733,1740,0,0,0
"2023","10",에어로로직,30,31,61,0,0,0,1419,159,1578
"2023","10",에어마카오,31,31,62,4044,3840,7884,18,2,20
"2023","10",에어부산,359,358,717,70379,67318,137697,3,9,12
"2023","10",에어서울,378,375,753,71094,67287,138381,62,29,91
"2023","10",에어아시아엑스,45,45,90,14975,12322,27297,313,275,588
"2023","10",에어아틀란타,3,3,6,0,0,0,0,280,280
"2023","10",에어인디아 리미티드,16,16,32,3384,3439,6823,48,171,219
"2023","10",에어인천,126,127,253,0,0,0,1557,1393,2950
"2023","10",에어캐나다,61,61,122,18116,17901,36017,565,735,1300
"2023","10",에어프레미아,121,122,243,35158,33251,68409,750,1077,1827
"2023","10",에어홍콩,23,23,46,0,0,0,976,1030,2006
"2023","10",에티오피아항공,57,58,115,5154,4259,9413,1144,491,1635
"2023","10",에티하드 항공,31,31,62,9625,8341,17966,396,501,896
"2023","10",우즈베키스탄항공,31,31,62,6876,5070,11946,18,257,275
"2023","10",원통화물항공,37,37,74,0,0,0,657,318,975
"2023","10",유나이티드항공,59,59,118,15019,11893,26912,293,1002,1295
"2023","10",유피에스항공,108,109,217,0,0,0,1222,2201,3423
"2023","10",이스타항공,165,162,327,29443,26741,56184,0,0,0
"2023","10",전일본공수,25,25,50,0,0,0,558,942,1501
"2023","10",제주항공,1600,1594,3194,259609,242567,502176,970,1042,2011
"2023","10",젯스타,13,13,26,3786,3983,7769,13,86,98
"2023","10",중국국제항공,229,229,458,29811,29237,59048,43,88,131
"2023","10",중국남방항공,491,491,982,56633,52924,109557,531,145,676
"2023","10",중국동방항공,447,447,894,49293,51926,101219,991,483,1474
"2023","10",중국센트럴항공,75,75,150,0,0,0,998,368,1365
"2023","10",중국우정항공,26,26,52,0,0,0,166,143,309
"2023","10",중국화물항공,12,12,24,0,0,0,1058,671,1728
"2023","10",중화항공,94,94,188,22928,21529,44457,518,574,1092
"2023","10",진에어,882,876,1758,202231,188152,390383,625,750,1375
"2023","10",집에어,31,31,62,8401,6198,14599,211,276,486
"2023","10",천진항공,19,19,38,2186,2059,4245,0,1,1
"2023","10",천진화물항공,2,2,4,0,0,0,0,0,0
"2023","10",청도항공,29,29,58,2781,2820,5601,12,2,15
"2023","10",춘추항공,27,27,54,3492,3065,6557,6,7,13
"2023","10",카고룩스 이탈리아 항공,11,11,22,0,0,0,322,482,804
"2023","10",카고룩스항공,13,13,26,0,0,0,405,936,1341
"2023","10",카타르항공,45,46,91,11943,11744,23687,1290,1941,3232
"2023","10",칼리타항공,39,39,78,0,0,0,565,279,844
"2023","10",캐세이퍼시픽항공,117,117,234,30702,29019,59721,1436,420,1855
"2023","10",콴타스항공,14,13,27,3632,3743,7375,18,59,77
"2023","10",타이거에어 타이완,32,31,63,5443,4518,9961,1,33,35
"2023","10",타이에어아시아엑스,42,43,85,14069,12783,26852,179,221,400
"2023","10",타이항공,93,93,186,22605,19043,41648,825,505,1330
"2023","10",터키항공,57,56,113,16603,14154,30757,1005,1620,2625
"2023","10",투르크메니스탄,6,5,11,0,0,0,162,170,332
"2023","10",티웨이항공,951,947,1898,182195,170941,353136,765,593,1358
"2023","10",폴라에어카고,135,138,273,0,0,0,4458,4926,9384
"2023","10",폴란드항공,39,39,78,11062,9142,20204,295,446,741
"2023","10",피치항공,128,128,256,21890,20010,41900,0,9,9
"2023","10",핀에어,31,31,62,9320,7782,17102,553,468,1021
"2023","10",필리핀에어아시아,81,81,162,12045,8787,20832,4,21,25
"2023","10",필리핀항공,149,149,298,24907,21703,46610,28,279,307
"2023","10",하와이안 항공,23,23,46,6321,5874,12195,79,331,410
"2023","10",홍콩익스프레스,80,80,160,15272,14699,29971,21,23,44
"2023","10",홍콩항공,18,18,36,2631,2826,5457,14,5,19
"2023","10",FedEX항공,130,132,262,0,0,0,2665,2593,5258
"2023","10",KLM네덜란드항공,51,50,101,5316,4864,10180,132,163,295
"2023","10",MY FREIGHTER AIRLINES,1,1,2,0,0,0,0,83,83
"2023","11",가루다인도네시아,25,25,50,4877,5508,10385,89,296,385
"2023","11",그레이터베이항공,30,30,60,2588,3264,5852,42,11,54
"2023","11",대한항공,3804,3806,7610,639412,655885,1295297,52479,54683,107162
"2023","11",델타항공,115,118,233,28769,32331,61100,97,1131,1228
"2023","11",디에이치엘항공,10,10,20,0,0,0,149,0,149
"2023","11",라오항공,30,30,60,3296,3742,7038,2,20,22
"2023","11",로얄브루나이항공,13,13,26,1213,1071,2284,0,5,5
"2023","11",루프트한자 독일항공,76,77,153,12284,13269,25553,486,1659,2145
"2023","11",말레이시아 항공,30,30,60,6793,7668,14461,319,459,778
"2023","11",몽골항공,51,52,103,6707,7065,13772,30,196,226
"2023","11",미얀마국제항공,16,16,32,1393,1443,2836,13,7,20
"2023","11",미얀마항공,2,2,4,301,2,303,0,1,2
"2023","11",바틱 에어 말레이시아,17,17,34,2317,2162,4479,0,0,0
"2023","11",베트남항공,184,184,368,39663,43863,83526,1144,872,2016
"2023","11",비엣젯항공,454,454,908,81705,88278,169983,607,251,858
"2023","11",사우디아항공,17,17,34,2095,2098,4193,17,240,257
"2023","11",사천항공,13,13,26,1575,1640,3215,0,8,8
"2023","11",산동항공,224,224,448,20581,20886,41467,218,7,225
"2023","11",상하이항공,19,19,38,1945,2308,4253,13,3,16
"2023","11",샤먼항공,30,30,60,4013,4188,8201,31,27,57
"2023","11",세부퍼시픽항공,90,90,180,15360,15903,31263,13,105,118
