"terminal","date","time_slot","departure_gate_t1_1_2","departure_gate_t1_3","departure_gate_t1_4","departure_gate_t1_5_6","total"
T1,"20250706","19~20시",922,602,869,862,3255
T1,"20250706","20~21시",0,1398,0,534,1932
T1,"20250706","21~22시",0,600,0,270,870
T1,"20250706","22~23시",0,566,0,0,566
T1,"20250706","23~24시",0,858,0,0,858
T1,"20250707","0~1시",0,740,0,0,740
T1,"20250707","1~2시",0,48,0,0,48
T1,"20250707","2~3시",0,50,0,0,50
T1,"20250707","3~4시",0,368,0,0,368
T1,"20250707","4~5시",0,1557,0,0,1557
T1,"20250707","5~6시",0,2154,0,801,2955
T1,"20250707","6~7시",1092,1502,645,989,4228
T1,"20250707","7~8시",2059,1281,1361,1396,6097
T1,"20250707","8~9시",1552,1498,1187,1636,5873
T1,"20250707","9~10시",1124,1143,1257,1391,4915
T1,"20250707","10~11시",1137,869,1203,1204,4413
T1,"20250707","11~12시",959,732,946,1195,3832
T1,"20250707","12~13시",963,585,924,1259,3731
T1,"20250707","13~14시",841,664,1005,1260,3770
T1,"20250707","14~15시",729,589,842,857,3017
T1,"20250707","15~16시",642,618,631,816,2707
T1,"20250707","16~17시",832,655,565,525,2577
T1,"20250707","17~18시",1138,734,674,660,3206
T1,"20250707","18~19시",1153,798,891,979,3821
T1,"20250707","19~20시",824,629,873,904,3230
T1,"20250707","20~21시",0,1681,0,637,2318
T1,"20250707","21~22시",0,698,0,341,1039
T1,"20250707","22~23시",0,593,0,0,593
T1,"20250707","23~24시",0,940,0,0,940
T1,"20250708","0~1시",0,794,0,0,794
T1,"20250708","1~2시",0,48,0,0,48
T1,"20250708","2~3시",0,50,0,0,50
T1,"20250708","3~4시",0,330,0,0,330
T1,"20250708","4~5시",0,1296,0,0,1296
T1,"20250708","5~6시",0,1933,0,657,2590
T1,"20250708","6~7시",1028,1322,490,951,3791
T1,"20250708","7~8시",1900,1077,935,1213,5125
T1,"20250708","8~9시",1435,1269,875,1330,4909
T1,"20250708","9~10시",1101,1005,928,1245,4279
T1,"20250708","10~11시",1301,903,1061,1108,4373
T1,"20250708","11~12시",851,702,894,1080,3527
T1,"20250708","12~13시",816,578,859,1100,3353
T1,"20250708","13~14시",671,640,981,1120,3412
T1,"20250708","14~15시",544,502,924,803,2773
T1,"20250708","15~16시",608,556,687,764,2615
T1,"20250708","16~17시",793,659,481,487,2420
T1,"20250708","17~18시",1000,744,612,633,2989
T1,"20250708","18~19시",901,651,763,924,3239
T1,"20250708","19~20시",569,438,774,873,2654
T1,"20250708","20~21시",0,1151,0,543,1694
T1,"20250708","21~22시",0,516,0,251,767
T1,"20250708","22~23시",0,426,0,0,426
T1,"20250708","23~24시",0,697,0,0,697
T1,"20250709","0~1시",0,598,0,0,598
T1,"20250709","1~2시",0,43,0,0,43
T1,"20250709","2~3시",0,45,0,0,45
T1,"20250709","3~4시",0,314,0,0,314
T1,"20250709","4~5시",0,1174,0,0,1174
T1,"20250709","5~6시",0,1879,0,584,2463
T1,"20250709","6~7시",1125,1414,545,835,3919
T1,"20250709","7~8시",1787,1159,1134,1153,5233
T1,"20250709","8~9시",1304,1355,964,1272,4895
T1,"20250709","9~10시",942,1042,1009,1241,4234
T1,"20250709","10~11시",1024,782,1005,1059,3870
T1,"20250709","11~12시",789,613,794,1029,3225
T1,"20250709","12~13시",734,494,851,1150,3229
T1,"20250709","13~14시",646,576,949,1125,3296
T1,"20250709","14~15시",605,517,824,792,2738
T1,"20250709","15~16시",601,659,793,820,2873
T1,"20250709","16~17시",762,693,718,522,2695
T1,"20250709","17~18시",993,632,583,538,2746
T1,"20250709","18~19시",930,641,791,762,3124
T1,"20250709","19~20시",697,543,924,827,2991
T1,"20250709","20~21시",0,1619,0,574,2193
T1,"20250709","21~22시",0,542,0,256,798
T1,"20250709","22~23시",0,183,0,0,183
T1,"20250709","23~24시",0,5,0,0,5
