English_City,Korean_City,Time_Difference_vs_Seoul_Hours
Providenciales,프로비덴시알레스,-14
Mildura,밀두라,+1
Falam Surbung,팔람 수르붕,-2.5
Kaduna,카두나,-8
Meru National Park,메루 국립공원,-6
Jinzhou,진저우,-1
Ironwood,아이언우드,-14
Peoria,피오리아,-14
Padang Sidempuan,파당 시뎀푸안,-2
Saskatoon,새스커툰,-15
Bocas Town,보카스 타운,-14
Ornskoldsvik,외른셸스비크,-7
Krakow,크라쿠프,-7
Batna,바트나,-7
Egegik,에게기크,-18
Ponce,폰세,-13
Pskov,프스코프,-6
RachGia,락자,-2
Magong,마궁,-1
Bata,바타,-8
Turkistan,투르키스탄,-4
Volgograd,볼고그라드,-6
Tarama,타라마,+0
BIldudalur,빌두달루르,-9
Chester,체스터,-8
Jos,조스,-8
Kwailabesi,콰일라베시,+2
Jabalpur,자발푸르,-3.5
San Jose del Cabo,산호세 델 카보,-16
Cannes,칸,-7
Raroia,라로이아,-19
Boston,보스턴,-13
Bunia,부니아,-7
Dakhla,다클라,-8
Moundou,문두,-8
Yedinka,예딘카,+1
Pierre,피에르,-15
St George,세인트 조지,-13
Fort McPherson,포트 맥퍼슨,-16
Futuna Island,푸투나 섬,+2
Navegantes,나베간테스,-12
WarraberIs,와라베르 제도,+1
Phrae,프래,-2
Allentown,앨런타운,-13
Villa Mercedes,비야 메르세데스,-12
Rutland,럿랜드,-13
Dien Bien Phu,디엔비엔푸,-2
Pisa,피사,-7
Bettles,베틀스,-17
Maracay,마라카이,-13
Atqasuk,앳카숙,-17
Kortrijk,코르트레이크,-7
Ardmore,아드모어,-15
Trieste,트리에스테,-7
Lubang,루방,-1
Paraburdoo,파라버두,-1
Djanet,자네트,-8
Okinoerabujima,오키노에라부지마,+0
Xiahe,샤허,-1
San Carlos,산 카를로스,-16
Alpena,알피나,-14
Ceske Budejovice,체스케 부데요비체,-7
Comiso,코미소,-7
Besalampy,베살람피,-6
Swan River,스완 리버,-14
Longview,롱뷰,-16
Ruijin,루이진,-1
Dublin,더블린,-8
Big Creek,빅 크리크,-16
Stowe,스토우,-13
Tobolsk,토볼스크,-4
Ozamiz,오사미즈,-1
Touho,투호,+2
Kangiqsualujjuaq,캉기크수알루쥐아크,-14
Waskaganish,와스카가니쉬,-14
Benin City,베닌 시티,-8
Libreville,리브르빌,-8
Westfield-Springfield,웨스트필드-스프링필드,-13
Morondava,모론다바,-6
Patrocinio,파트루시니우,-12
Fort de France,포르 드 프랑스,-13
Chinchilla,친칠라,+1
Ramstein,람슈타인,-7
Arona,아로나,-7
Mananara Nord,마나나라 노르,-6
Ulukhaktok,울루크학톡,-16
Huai'an,화이안,-1
Emmonak,엠모나크,-18
Westerly,웨스터리,-13
Songea,손게아,-6
Mytilene,미틸리니,-7
Faaite,파아이테,-19
Sorkjosen,소르크요센,-7
Kili Island,킬리 섬,+3
Kirkuk,키르쿠크,-6
Orsk,오르스크,-4
Campina Grande,캄피나 그란데,-12
Eua,에우아,+4
Saravan,사라반,-2.5
Arendal,아렌달,-7
Yibin,이빈,-1
San Juan,산후안,-13
Niuatoputapu,니아우토푸타푸,+5
MitU,미투,-14
Norman Wells,노먼 웰스,-16
Cape Dorset,케이프 도르셋,-14
Smara,스마라,-8
Petrolina,페트롤리나,-12
Mariupol,마리우폴,-7
Kaitaia,카이타이아,+3
Contadora Island,콘타도라 섬,-14
Pilot Station,파일럿 스테이션,-18
Ogoki,오고키,-14
Reno,리노,-16
Cat Lake,캣 레이크,-15
Sao Felix do Araguaia,상 펠릭스 두 아라과이아,-13
Shanghai,상하이,-1
Urumqi,우루무치,-3
Lihue,리후에,-19
Kasabonika,카사보니카,-14
Srinagar,스리나가르,-3.5
Inuvik,이누비크,-16
Wushan,우산,-1
Kyzylorda,키질로르다,-4
Ballina,발리나,+1
Sharypovo,샤리포보,-2
Moa,모아,-14
Datia,다티아,-3.5
Chiredzi,치레지,-7
Morombe,모롬베,-6
Alice Springs,앨리스 스프링스,+0.5
Medan,메단,-2
Bauru,바우루,-12
Antalaha,안탈라하,-6
Batu Licin,바투 리친,-1
Thira,티라,-7
SambU,삼부,-8
Soalala,소알랄라,-6
Krabi,끄라비,-2
Murray Island,머레이 제도,+1
Tamarindo,타마린도,-15
Saturna Island,새터나 아일랜드,-16
Sansha,싼샤,-1
Sara,사라,-1
Williams Lake,윌리엄스 레이크,-16
Cobija,코비자,-13
General Pico,헤네랄 피코,-12
Iloilo,일로일로,-1
Johannesburg,요하네스버그,-7
Hiroshima,히로시마,+0
Vopnafjordur,보프나피요르뒤르,-9
Kuusamo,쿠사모,-7
Bar Harbor,바 하버,-13
San Juan de la Maguana,산후안 데 라 마과나,-14
Hongyuan,홍위안,-1
Rzeszow,제슈프,-7
Ordos,오르도스,-1
La Seu d'Urgell,라 세우 두르젤,-7
Mascara,마스카라,-8
Tianshui,톈수이,-1
Meerut,메루트,-3.5
Hervey Bay,허비 베이,+1
Groote Eylandt,그루트 아일랜드,+1
Wulong,우룽,-1
Chesterfield,체스터필드,-8
Uberlandia,우베를란디아,-12
Chifeng,츠펑,-1
Siquijor,시퀴호르,-1
Banja Luka,바냐 루카,-7
San Gil,산 힐,-14
Borg El Arab,보르그 엘 아랍,-7
Kirkenes,키르케네스,-7
Santiago del Estero,산티아고 델 에스테로,-12
Lalibela,랄리벨라,-6
Wuhu,우후,-1
Surigao,수리가오,-1
Alta,알타,-7
Tozeur,토제르,-8
Plovdiv,플로브디프,-7
Utirik Atoll,우티릭 아톨,+3
Ajaccio,아작시오,-7
Tallinn,탈린,-7
Bobo-Dioulasso,보보디울라소,-8
Ust-Ilimsk,우스티 일림스크,-2
Fort Chipewyan,포트 치페와이안,-15
Port Blair,포트 블레어,-3.5
Wewak,웨워크,+1
Comodoro Rivadavia,코모도로 리바다비아,-12
Dehradun,데라둔,-3.5
Tlemcen,틀렘센,-8
Berens River,베렌스 리버,-15
Sakakah,사카카,-6
Altenburg,알텐부르크,-7
Kokhanok,코하녹,-17
Hoedspruit,후드스프룻,-7
Daru,다루,+1
Bulgan,불간,-1
Tulum,툴룸,-14
Trashigang,트라시강,-3
Varanasi,바라나시,-3.5
Hao,하오,-19
Boise,보이시,-16
Solapur,솔라푸르,-3.5
Mount Isa,마운트 이사,+1
South West Bay,사우스 웨스트 베이,+2
Jining,지닝,-1
Marquette,마켓,-14
Kralendijk,크라렌데이크,-13
Adrar,아드라르,-8
Marion,매리언,-14
Geneva,제네바,-7
Barranquilla,바랑키야,-14
Wekweeti,위쿼티,-16
Coachella Valley,코첼라 밸리,-16
Roseau,로조,-13
Vatry,바트리,-7
Guelmim,겔밈,-8
Bundaberg,번다버그,+1
Ji-Parana,지파라나,-13
Rainbow Lake,레인보우 레이크,-16
San MartIn de los Andes,산 마르틴 데 로스 안데스,-12
Parma,파르마,-7
Misawa,미사와,+0
The Forest,더 포레스트,-13
Huatulco,우아툴코,-15
Tapachula,타파출라,-15
Wajima,와지마,+0
Wrangell,랭겔,-17
Nouakchott,누악쇼트,-8
Les Cayes,레 카예,-14
Ibague,이바게,-14
Paulatuk,폴라투크,-16
Mundha Pande,문드하 판데,-3.5
Embu,엠부,-6
PointeNoire,푸앵트누아르,-8
Ed Daein,에드 다에인,-6
Monclova,몬클로바,-15
Huatugou,화투거우,-1
Gorakhpur,고라크푸르,-3.5
Sirte,시르테,-7
Russian Mission,러시안 미션,-18
Martinsburg,마틴스버그,-13
Merauke,메라우케,+0
Kavalerovo,카발레로보,+1
Red Sucker Lake,레드 서커 레이크,-15
Skiathos,스키아토스,-7
Kikai,키카이,+0
Ewer,에워,+0
College Station,칼리지 스테이션,-15
Hohhot,후허하오터,-1
Yining,이닝,-3
Milwaukee,밀워키,-14
Maratua Island,마라투아 제도,-1
Santiago de Cuba,산티아고 데 쿠바,-14
Ipota,이포타,+2
Niigata,니가타,+0
Lakeba Island,라케바 제도,+3
Xiangxi,샹시,-1
Shangri-La,샹그릴라,-1
Aktobe,악토베,-4
Tartagal,타르타갈,-13
Ponta Grossa,폰타 그로사,-12
Turin,토리노,-7
Stuttgart,슈투트가르트,-7
Stevens Village,스티븐스 빌리지,-17
Cairns,케언스,+1
NevSehir,네브셰히르,-6
Palmerston North,파머스턴 노스,+3
Kariba,카리바,-7
Astypalaia,아스티팔라이아,-7
Yanbu,얀부,-6
Addis Ababa,아디스아바바,-6
Zadar,자다르,-7
Ambatomainty,암바토마인티,-6
Anahim Lake,아나힘 레이크,-16
Kamloops,캠루프스,-16
Kosrae,코스라에,+2
Xi'an,시안,-1
Yahukimo,야후키모,+0
Roma,로마,-7
Khajuraho,카주라호,-3.5
Evensk,예벤스크,+1
Hollywood,할리우드,-16
Moses Lake,모세스 레이크,-16
Essaouira,에사우이라,-8
Burketown,버크타운,+1
Alderney,올더니,-8
Gold Coast,골드 코스트,+1
Launceston,론서스턴,+1
Wenatchee,웨내치,-16
Fort Leonard Wood,포트 레너드 우드,-14
Leeds-Bradford,리즈-브래드포드,-8
Grumeti,그루메티,-6
Karaganda,카라간다,-4
Grafton,그래프턴,-13
Sion,시옹,-7
Rennell Island,레넬 제도,+2
Armenia,아르메니아,-14
Sliac,슬리아치,-7
Marinduque Island,마린두케 제도,-1
Ariquemes,아리케메스,-13
Araxa,아라샤,-12
Inishmaan,이니시맨,-8
Tokushima,도쿠시마,+0
Sohag,소하그,-7
Grand Turk Island,그랜드 터크 아일랜드,-14
Fuerteventura,푸에르테벤투라,-8
Uyo,우요,-8
Riga,리가,-7
Ekwok,에크워크,-17
Sidney,시드니,-16
Sand Point,샌드 포인트,-17
Palmar Sur,팔마르 수르,-15
Nagpur,나그푸르,-3.5
Winton,윈튼,+1
Comox,코목스,-16
Livingstone,리빙스턴,-7
Kinshasa,킨샤사,-8
Klemtu,클렘투,-16
Wakaya Island,와카야 제도,+3
Vadso,바드쇠,-7
Murmansk,무르만스크,-6
Kosice,코시체,-7
Owerri,오웨리,-8
Sangar,상가르,+0
Malang,말랑,-2
Kununurra,쿠누누라,-1
Balikpapan,발릭파판,-1
El Salvador,엘살바도르,-15
Larnaca,라르나카,-7
Chersky,체르스키,+1
Rabaul,라바울,+1
Dezful,데즈풀,-5.5
Scottsbluff,스콧츠블러프,-15
Manley Hot Springs,맨리 핫 스프링스,-17
Tennant Creek,테넌트 크릭,+0.5
Guaymas,과이마스,-15
Shageluk,샤게룩,-18
Uruapan,우루아판,-15
Egilsstaoir,에이일스타디르,-9
Zunyi,쭌이,-1
Tandag,탄닥,-1
Takengon,타켕온,-2
Pagadian,파가디안,-1
Pueblo,푸에블로,-15
Naxos,낙소스,-7
Patras,파트라스,-7
Popondetta,포폰데타,+1
Ouargla,와르글라,-8
Datadawai,다타다와이,-2
Clyde River,클라이드 리버,-14
Bremen,브레멘,-7
San Cristobal,산 크리스토발,-14
Visalia,비살리아,-16
Esquel,에스켈,-12
Bridgeport,브리지포트,-13
Severo-Kurilsk,세베로쿠릴스크,+2
Jakarta,자카르타,-2
Ocean Falls,오션 폴스,-16
Albacete,알바세테,-7
Nosara,노사라,-15
Catania,카타니아,-7
Mejit Island,메지트 제도,+3
Dumai,두마이,-2
Pristina,프리슈티나,-7
North Bay,노스 베이,-14
Erbil,에르빌,-6
Umea,우메오,-7
Pellston,펠스턴,-14
Nuwara Eliya,누와라 엘리야,-3.5
Attawapiskat,아타와피스캇,-14
Vieste,비에스테,-7
Orvakal,오르바칼,-3.5
Goodyear,굿이어,-16
Doha,도하,-6
Naracoorte,나라코르테,+0.5
Sirnak,시르낙,-6
Philadelphia,필라델피아,-13
Neubrandenburg,노이브란덴부르크,-7
Weipa,웨이파,+1
Cap-Haitien,카프아이티엥,-14
El Alamein,엘 알라메인,-7
La Ceiba,라 세이바,-15
Funchal,푼샬,-9
Akola,아콜라,-3.5
Amritsar,암리차르,-3.5
Graz,그라츠,-7
Thimarafushi,티마라푸시,-4
Torres,토레스,-12
Osh,오시,-4
Guwahati,구와하티,-3.5
Osaka,오사카,+0
Quincy,퀸시,-13
Reao,레아오,-19
Bratsk,브라츠크,-3
Khost,호스트,-4.5
St. Moritz,장크트모리츠,-7
Damazin,다마진,-6
Riverton,리버튼,-15
Dangriga,당리가,-15
Baykit,바이키트,-2
Taiz,타이즈,-6
Bukoba,부코바,-6
Andamooka,안다무카,+0.5
Grayling,그레이링,-17
Los angeles,로스앤젤레스,-16
Raivavae,라이바바에,-19
Katherine,캐서린,+0.5
Split,스플리트,-7
Hanimaadhoo,하니마두,-4
Alpine,알파인,-15
Newark,뉴어크,-13
Kogalym,코갈림,-4
Chuathbaluk,추앗발룩,-17
Tokunoshima,도쿠노시마,+0
Teruel,테루엘,-7
TamuIn,탐윈,-15
Las Tunas,라스 투나스,-14
Kiriwina Island,키리위나 제도,+1
Maastricht,마스트리흐트,-7
Vienna,비엔나,-7
Samarkand,사마르칸트,-4
Kufra,쿠프라,-7
Abu Simbel,아부 심벨,-7
Puttaparthi,푸타파르티,-3.5
Jambi,잠비,-2
Aligarh,알리가르,-3.5
Trinidad,트리니다드,-13
Wadi Halfa,와디 할파,-7
Petropavlovsk,페트로파블롭스크,-4
Paro,파로,-3
Ankavandra,안카반드라,-6
Tainan,타이난,-1
Saranac Lake,사라낙 레이크,-13
Tabarka,타바르카,-8
Matam,마탐,-8
Agen,아쟁,-7
South Caicos,사우스 카이코스,-14
Canaima,카나이마,-13
Kake,카케,-17
Puebla,푸에블라,-15
Kasane,카사네,-7
Eau Claire,오클레어,-14
Waterloo,워털루,-14
Chofu,조후,+0
Qeshm,퀘슘,-5.5
Lleida,레이다,-7
Qaisumah-Hafar al-Batin,카이수마-하파르 알 바틴,-6
Maavarulu,마아바루루,-4
Sao Paulo,상파울루,-12
Maasin,마아신,-1
Belleville,벨빌,-14
Hargeisa,하르게이사,-6
Guangzhou,광저우,-1
Gaborone,가보로네,-7
Mulhouse,뮐루즈,-7
Enugu,에누구,-8
Poplar Hill,포플러 힐,-14
Toluca,톨루카,-15
Butuan,부투안,-1
Nepalgunj,네팔군지,-3.75
Tezpur,테즈푸르,-3
Morelia,모렐리아,-15
Kerben,케르벤,-4
Baton Rouge,배턴 루지,-15
Oyem,오옘,-8
Makassar,마카사르,-1
Sipora,시포라,-2
Tufi,투피,+1
Tortuguero,토르투게로,-15
Nakhchivan,나흐치반,-5
Basel,바젤,-7
Vilhena,빌헤나,-13
Sindal,신달,-7
Yongzhou,융저우,-1
Kaghau Island,카가우 제도,+2
Goya,고야,-12
Lages,라제스,-12
Riberalta,리베랄타,-13
Malarge,말라르게,-12
Alliance,얼라이언스,-15
Tacheng,타청,-3
Solomon,솔로몬,-17
Tehran,테헤란,-5.5
Levuka,레부카,+3
Jeypore,제이푸르,-3.5
Oberpfaffenhofen,오버파펜호펜,-7
Reconquista,레콘키스타,-12
Irece,이레세,-12
Bossier City,보시어 시티,-15
Culiacan,쿨리아칸,-15
Longnan,룽난,-1
Puerto Montt,푸에르토 몬트,-12
TrollhAttan-VAnersborg,트롤헤탄-베네르스보리,-7
Puvirnituq,푸비르니투크,-14
Pullman,풀먼,-16
Emerald,에메랄드,+1
Idaho Falls,아이다호 폴스,-16
Gander,갠더,-12.5
Walla Walla,왈라왈라,-16
Lansdowne,랜스다운,-13
Page,페이지,-16
Point Baker,포인트 베이커,-17
Ofu Island,오푸 제도,-20
Bilbao,빌바오,-7
Cordova,코르도바,-17
Tena,테나,-14
Cross Lake,크로스 레이크,-15
Kingston,킹스턴,-13
Jengjal Baljek,젱잘 발제크,-3
La Chorrera,라 초레라,-14
Yonaguni,요나구니,+0
Quelimane,켈리마네,-7
Maraba,마라바,-12
Ormoc,오르모크,-1
Iles-de-la-Madeleine,일 드 라 마들렌,-13
Papa Stour,파파 스투어,-8
Kenosha,케노샤,-14
Yuncheng,윈청,-1
Detroit,디트로이트,-13
Oecussi,오쿠시,-0
BahIa Blanca,바이아 블랑카,-12
Arua,아루아,-6
Mo i Rana,모 이 라나,-7
Neiva,네이바,-14
Agra,아그라,-3.5
Stella Maris,스텔라 마리스,-14
O'Neill,오닐,-15
Piestany,피에슈챠니,-7
Lincang,린창,-1
Chennai,첸나이,-3.5
Subic Bay,수빅만,-1
Repulse Bay,리펄스 베이,-14
Shenyang,선양,-1
Amboseli,암보셀리,-6
NewValley,뉴밸리,-7
West Chicago,웨스트 시카고,-14
Sanana Island,사나나 제도,-1
Baramati,바라마티,-3.5
Bangui,방기,-8
Igiugig,이기우지그,-17
Bellary,벨라리,-3.5
Gelephu,겔레푸,-3
Ellisras,엘리스라스,-7
Sandy Lake,샌디 레이크,-15
Achutupo,아추투포,-14
Pikangikum,피칸지쿰,-15
Roswell,로즈웰,-15
Kuujjuarapik,쿠유아라픽,-14
Polyarny,폴랴르니,-6
Andavadoaka,안다바도아카,-6
Ballera gas plant,발레라 가스 플랜트,+1
Sao Gabriel da Cachoeira,상 가브리엘 다 카초에이라,-14
Marmul,마르물,-5
Long Apung,롱아풍,-2
Santa Ana Island,산타 아나 제도,+2
UstKuyga,우스티 쿠이가,+0
Ordu/Giresun,오르두/기레순,-6
Maribor,마리보르,-7
Shillong,실롱,-3
Jebel Ali,제벨 알리,-5
Guasdualito,과스두알리토,-14
Den Helder,덴 헬데르,-7
Qamdo,캄도,-1
Tasikmalaya,타식말라야,-2
Kharkiv,하르키우,-7
Gorno-Altaysk,고르노알타이스크,-2
Trang,트랑,-2
Kotzebue,코체부,-17
Moomba,뭄바,+0.5
Mykolaiv,미콜라이우,-7
MaturIn,마투린,-13
Bayda,바이다,-7
Aqaba,아카바,-6
Flint,플린트,-14
Ciudad Real,시우다드 레알,-7
Dickinson,디킨슨,-15
Yingkou,잉커우,-1
Auckland,오클랜드,+3
Alta Floresta,알타 플로레스타,-13
Kimmirut,킴미루트,-14
Guangyuan,광위안,-1
Yasuj,야수즈,-5.5
Mili Atoll,밀리 아톨,+3
Satna,사트나,-3.5
Points North Landing,포인트 노스 랜딩,-15
Poso,포소,-1
Haugesund,하우게순,-7
Oxford House,옥스포드 하우스,-15
CayeChapel,케이 채플,-15
Inisheer,이니시어,-8
Vanua Balavu,바누아 발라부,+3
Prerov,프르제로프,-7
Port Hope,포트 호프,-13
Quimper,캥페르,-7
Tubala,투발라,-14
Ilorin,일로린,-8
Amravati,아므라바티,-3.5
Tengchong,텅충,-1
Akhiok,아키오크,-17
Kuala Terengganu,쿠알라 테렝가누,-1
Perryville,페리빌,-17
Mosinee,모시니,-14
Buriram,부리람,-2
Coen,코엔,+1
Baia Mare,바이아 마레,-7
Ras Sidr,라스 시드르,-7
Franceville,프랑스빌,-8
Zhytomyr,지토미르,-7
Tabiteuea North,타비테우아 노스,+3
Jacmel,자크멜,-14
Homa Bay,호마 베이,-6
Guam,괌,+1
Laghouat,라구앗,-8
Colombo,콜롬보,-3.5
Hengchun,헝춘,-1
Yantai,옌타이,-1
Mundra,문드라,-3.5
Ndende,은덴데,-8
Cluj-Napoca,클루지나포카,-7
Baguio,바기오,-1
Port-de-Paix,포르데페,-14
Bornholm,보른홀름,-7
Ramechhap,라메찹,-3.75
Puerto Vallarta,푸에르토 바야르타,-15
Annaba,안나바,-7
Yan'an,옌안,-1
Quito,키토,-14
Barrow Island,배로우 아일랜드,-1
El VigIa,엘 비히아,-13
Nuku Hiva,누쿠 히바,-19.5
Wollongong,울런공,+1
Panjang Island,판장 제도,-2
Corpus Christi,코퍼스 크리스티,-15
Yakima,야키마,-16
Rarotonga Island,라로통가 제도,-19
Aguadilla,아과디야,-13
Sullivan Bay,설리번 베이,-16
Chisinau,키시너우,-7
San Jose,산호세,-15
Manaoba Island,마나오바 제도,+2
Tablas Island,타블라스 제도,-1
Tuzla,투즐라,-7
Ua Pou,우아 포우,-19.5
Kalamata,칼라마타,-7
Kushiro,쿠시로,+0
Havana,하바나,-14
Greenwood,그린우드,-14
Taloyoak,탈로요크,-15
Parauapebas,파라우아페바스,-12
Batticaloa,바티칼로아,-3.5
Blenheim,블렌하임,+3
San Francisco,샌프란시스코,-16
Kashan,카샨,-5.5
Daocheng,다오청,-1
Salzburg,잘츠부르크,-7
Patos de Minas,파투스 지 미나스,-12
Colonel Hill,콜로넬 힐,-14
Napuka,나푸카,-19
Ganja,간자,-5
Shiraz,시라즈,-5.5
Astana,아스타나,-4
Jacksonville,잭슨빌,-13
Presque Isle,프레스크 아일,-13
Tuguegarao,투게가라오,-1
Saint Vincent,세인트 빈센트,-13
Petrozavodsk,페트로자보츠크,-6
Ankang,안캉,-1
Nekemte,네켐테,-6
Rosario,로사리오,-12
Trkmenabat,투르크메나바트,-4
Bonanza,보난자,-15
Malinau,말리나우,-2
Oulu,오울루,-7
Lazy Bay,레이지 베이,-17
Poza Rica,포사 리카,-15
Dang Tarigaun,당 타리가운,-3.75
Solwezi,솔웨지,-7
Kishangarh,키샨가르,-3.5
Port Angeles,포트 앤젤레스,-16
Anegada,아네가다,-13
Gan Island,간 제도,-4
Torres Islands,토레스 제도,+2
Sabzevar,삽제바르,-5.5
Mamburao,맘부라오,-1
Villagarzon,비야가르손,-14
StDenis,생드니,-5
Nakhon Si Thammarat,나콘시탐마랏,-2
Esmeraldas,에스메랄다스,-14
Jurmala,유르말라,-7
Huslia,후슬리아,-17
London,런던,-8
Surgut,수르구트,-4
Truckee,트러키,-16
Tinian,티니안,+1
Clovis,클로비스,-16
Naga,나가,-1
Jimma,짐마,-6
Suceava,수체아바,-7
Long Akah,롱아카,-1
Komatsu,고마쓰,+0
Punta Cana,푼타 카나,-14
Cochabamba,코차밤바,-13
Maprik Hayfield,마프릭 헤이필드,+1
Baikonur,바이코누르,-4
Dinard,디나르,-7
Vigan,비간,-1
Knock,노크,-8
Puerto Madryn,푸에르토 마드린,-12
Dembidolo,뎀비돌로,-6
Pickle Lake,피클 레이크,-14
Portage,포티지,-17
Ilulissat,일루리사트,-12
Faranah,파라나,-8
Kaltag,칼탁,-17
Cap Skirring,캅 스키링,-8
Galela,갈렐라,+0
Yola,욜라,-8
Podor,포도르,-8
Masset,매싯,-17
West Palm Beach,웨스트 팜 비치,-13
Saumlaki,사움라키,+0
Nizhneangarsk,니즈네앙가르스크,+0
Sandspit,샌즈핏,-17
Karumba,카룸바,+1
Qeqertarsuaq,케케르타르수아크,-12
Baku,바쿠,-5
Mbanza-Congo,음반자 콩고,-8
Linfen,린펀,-1
Beryozovo,베료조보,-5
Zakynthos,자킨토스,-7
Pietermaritzburg,피터마리츠버그,-7
Namibe,나미베,-7
Chichen Itza,치첸 이차,-15
Kwigillingok,크위길링고크,-17
Chengde,청더,-1
Svolvaer,스볼베르,-7
Sindhudurg,신두두르그,-3.5
Ikaria Island,이카리아 제도,-7
Chicago,시카고,-14
Koulamoutou,쿨라무투,-8
El Tor,엘 토르,-7
Sambava,삼바바,-6
Asaloyeh,아살루예흐,-5.5
Kalaburagi,칼라부라기,-3.5
Tiaret,티아레트,-8
Treviso,트레비소,-7
Grenada,그레나다,-13
Bangor,뱅고어,-13
Balakovo,발라코보,-6
Los Alamos,로스 알라모스,-15
Bamenda,바멘다,-8
MocImboa da Praia,모심보아 다 프라이아,-6
Kinmen,진먼,-1
Macapa,마카파,-12
Cyangugu,찬구구,-6
Seattle,시애틀,-16
Tacloban,타클로반,-1
Rabat,라바트,-8
Sayun,사윤,-6
Mukomuko,무코무코,-2
Sharq Al Owainat,샤르크 알 오와이나트,-7
Chiang Rai,치앙라이,-2
Ravensthorpe,레이븐소프,+1
Melbourne,멜버른,+1
Xiamen,샤먼,-1
San Rafael,산 라파엘,-12
Rochester,로체스터,-13
Hagerstown,헤이거스타운,-13
Vasteras,베스테로스,-7
Dodoma,도도마,-6
Sao Jose dos Campos,상 주제 두스 캄푸스,-12
Minatitlan,미나티틀란,-15
Mora,모라,-8
Wenshan,원산,-1
SantaFe,산타페,-15
Viedma,비에드마,-12
Amami,아마미,+0
Dadu,다두,-1
Salekhard,살레하르트,-4
Chisasibi,치사시비,-14
Lakeland,레이크랜드,-13
Ras alKhaimah,라스 알 카이마,-5
Confresa,콘프레사,-13
Magnitogorsk,마그니토고르스크,-4
Camden,캠든,-13
Moron,모론,-12
Noatak,노아탁,-17
Karshi,카르시,-4
Kalymnos,칼림노스,-7
Belgorod,벨고로드,-6
Mauritius,모리셔스,-5
Antigua,안티과,-13
Strezhevoy,스트레제보이,-3
Mount Hotham,마운트 호텀,+1
Nikunau,니쿠나우,+3
Guanambi,과나비,-12
Erfurt,에르푸르트,-7
Sarnia,사르니아,-14
Cooktown,쿡타운,+1
Xichang,시창,-1
Yiwu,이우,-1
Garze County,가르제 현,-1
Redang Island,르당 제도,-1
Point Lay,포인트 레이,-17
Chenzhou,천저우,-1
Valdosta,발도스타,-13
Luanda,루안다,-8
Mafia Island,마피아 제도,-6
Girona,지로나,-7
Joao Pessoa,주앙 페소아,-12
GAllivare,옐리바레,-7
Lusaka,루사카,-7
Larsen Bay,라르센 베이,-17
Vardo,바르되,-7
