City,Korean_Name,Time_Difference_From_Seoul_Hours
Canela,카넬라,-12
Paducah,파두카,-14
Maple Bay,메이플 베이,-17
Gloucester,글로스터,-8
Man,만,-9
Mitiaro Island,미티아로 아일랜드,-20
Kavieng,카비엥,+1
Oryol,오룔,-6
Golmud,골무드,-1
Plastun,플라스툰,+2
Kerinci,케린치,-2
Kos,코스,-6
Alaska,알래스카,-18
Utarom,우타롬,+2
Lodja,로드자,-8
Spiddal,스피달,-8
Perth,퍼스,+1
Hilo,힐로,-19
Langley,랭글리,-17
Jeju,제주,+0
Vahitahi,바히타히,-19
Biskra,비스크라,-8
Cork,코크,-8
Pedro Bay,페드로 베이,-18
Obihiro,오비히로,+0
Minamidaito,미나미다이토,+0
Gafsa,가프사,-8
Port Elizabeth,포트 엘리자베스,-7
Mopti,몹티,-9
Kingfisher Lake,킹피셔 레이크,-14
Dallas,댈러스,-15
Kursk,쿠르스크,-6
Vijayawada,비자야와다,-3.5
Majuro,마주로,+3
Tombouctou,팀북투,-9
Pikeville,파이크빌,-13
Tawau,타와우,-1
Umtata,움타타,-7
PArnu,패르누,-6
Worcester,우스터,-8
Chachapoyas,차차포야스,-14
Whangarei,팡가레이,+3
Ahvaz,아흐바즈,-4.5
Forde,포르데,-7
Devonport,데본포트,+1
Bareilly,바레일리,-3.5
Bauchi,바우치,-8
Merced,머시드,-17
Sharm elSheikh,샤름 엘 셰이크,-6
Minsk,민스크,-6
Monywa,몬유아,-2.5
Ulaanbaatar,울란바토르,+0
Pohnpei,폰페이,+2
Robinson,로빈슨,-14
Kota,코타,-3.5
Pendleton,펜들턴,-17
Kirakira,키라키라,+3
Novosibirsk,노보시비르스크,-2
Moranbah,모란바,+1
Aguascalientes,아과스칼리엔테스,-15
Djerba,제르바,-8
Buffalo,버펄로,-13
Nunapitchuk,누나피추크,-18
Gaziantep,가지안테프,-6
Tambelan,탐벨란,-1
Bacolod,바콜로드,-1
Saibai Island,사이바이 섬,+1
York Landing,요크 랜딩,-14
Niuafo'ou,니우아포우,+4
Kolda,콜다,-9
Bajawa,바자와,-1
ChahBahar,차바하르,-4.5
Assab,아사브,-6
Huntington,헌팅턴,-13
Brockville,브록빌,-13
Ayan,아얀,+2
Palo Alto,팰로앨토,-17
Tampico,탐피코,-15
Tashtagol,타슈타골,-2
Ixtepec,익스테펙,-15
Zagarzazu,자가르자주,-12
Rostov,로스토프,-6
Carlsbad,칼즈배드,-16
Tsiroanomandidy,치로아노만디디,-6
Prince Rupert,프린스 루퍼트,-17
Vitoria,비토리아,-12
Taitung,타이둥,+1
Mandalay,만달레이,-2.5
Lake Manyara,마냐라 호수,-6
Tambacounda,탐바쿤다,-9
Regina,리자이나,-15
Mecheria,메체리아,-8
Caldas Novas,칼다스 노바스,-12
San Andres Island,산 안드레스 섬,-14
Culpina,쿨피나,-13
Yurimaguas,유리마과스,-14
Fayzabad,파이자바드,-4.5
Cacador,카사도르,-12
Cottbus,콧부스,-7
Ufa,우파,-5
Takamatsu,다카마쓰,+0
Konya,콘야,-6
Baidoa,바이도아,-6
Pecs Pogany,페치 포가니,-7
Kalamazoo,칼라마주,-13
Tbilisi,트빌리시,-5
Shaktoolik,샥툴리크,-18
Prudhoe Bay,프루도 베이,-18
Gunsan,군산,+0
Sirjan,시르잔,-4.5
Atlantic,애틀랜틱,-16
Stony Rapids,스토니 래피즈,-15
Atka,앗카,-19
Memanbetsu,메만베쓰,+0
Hisar,히사르,-3.5
Sault Ste Marie,수 생 마리,-13
Tumaco,투마코,-14
Bensbach,벤스바흐,+1
Oviedo,오비에도,-7
St. Paul Island,세인트 폴 아일랜드,-18
Woja,워자,+3
Missoula,미줄라,-16
NauruIsland,나우루 섬,+3
Isiolo,이시올로,-6
Taraz,타라즈,-4
Sofia,소피아,-7
Port Sudan,포트 수단,-7
Tongoa,통고아,+3
Praslin Island,프라슬랭 섬,-5
Antsiranana,앙치라나나,-6
Bulawayo,불라와요,-7
Faresmaathodaa,파레스마토다아,-4
Belgaum,벨가움,-3.5
Montpellier,몽펠리에,-7
Gillam,길램,-14
Darwin,다윈,+0.5
Cuamba,쿠암바,-7
Koggala,코갈라,-3.5
Sapporo,삿포로,+0
Ruby,루비,-18
San-Pedro,산 페드로,-9
Nogales,노갈레스,-16
Helsinki,헬싱키,-6
Nong Khang,농 캉,-2
Laverton,라베르톤,+1
Calayan Island,칼라얀 섬,-1
Emigrant Gap,에미그란트 갭,-17
Qingyang,칭양,-1
Wang'an,왕안,+1
Gunungsitoli,구눙시톨리,-2
Mannheim,만하임,-7
Bishop,비숍,-17
Uray,우라이,-5
Huesca,우에스카,-7
Ribeirao Preto,리베이랑 프레투,-12
ParnaIba,파르나이바,-12
Chinua Achebe,치누아 아체베,-8
Jessore,제소르,-3.5
Pointe-a-Pitre,푸앵트아피트르,-13
Santa Marta,산타 마르타,-14
Rotorua,로토루아,+3
Corrente,코렌테,-12
Batken,바트켄,-4
Sialkot,시아르콧,-4
Shungnak,슝낙,-18
Rimatara,리마타라,-19
Kunming,쿤밍,-1
Castlegar,캐슬가,-17
Inta,인타,-6
Batchelor,배첼러,+0.5
Sihanoukville,시하누크빌,-2
Batuna,바투나,+2
Nanded,난데드,-3.5
Akiak,아키악,-18
Yeosu/Suncheo,여수/순천,+0
Brest,브레스트,-7
San Isidro de El General,산 이시드로 데 엘 헤네랄,-15
Fera Island,페라 섬,+2
Dundo,둔도,-8
Aberdeen,애버딘,-8
Kostanay,코스타나이,-4
Saint-Louis,생루이,-9
Skopje,스코페,-7
Asuncion,아순시온,-13
Zaysan,자이산,-4
Klawock,클라워크,-17
Nakhon Phanom,나콘 파놈,-2
Manama,마나마,-6
Xinyang,신양,-1
Skyros,스키로스,-6
Lahad Datu,라하드 다투,-1
Liepja,리예파야,-6
Orebro,외레브로,-7
Kundiawa,쿤디아와,+1
High Level,하이 레벨,-15
Parana,파라나,-12
Dothan,도던,-13
Zhangjiakou,장자커우,-1
Peach Springs,피치 스프링스,-16
Grants Pass,그랜츠 패스,-17
Sioux Lookout,수 룩아웃,-14
Rafsanjan,라프산잔,-4.5
Qaanaaq,카나크,-12
Pasto,파스토,-14
Jiroft,지로프트,-4.5
Faya Largeau,파야 라르조,-8
Bole,보레,-6
Jnkping,옌셰핑,-7
Tunica,투니카,-15
Adampur,아담푸르,-3.5
Lorient,로리앙,-7
Le Mans,르망,-7
Kolwezi,콜웨지,-8
Iwami,이와미,+0
Vitoria da Conquista,비토리아 다 콩키스타,-12
Mopa,모파,-3.5
Amderma,암데르마,-6
Santa Ana,산타 아나,-17
Lima,리마,-14
Oscoda,오스코다,-13
Oakland,오클랜드,-17
Colonsay,콜론세이,-8
Ittoqqortoormiit,이토코르토르미트,-10
Brazzaville,브라자빌,-8
Lipetsk,리페츠크,-6
Sibiu,시비우,-7
Linkping,린셰핑,-7
Caxias do Sul,카시아스 두 술,-12
PortoroZ,포르토로지,-7
Lake Charles,레이크 찰스,-15
Attapeu,앗타푸,-2
Balkanabat,발카나바트,-4
Seronera,세로네라,-6
Fort Myers,포트 마이어스,-13
Chillagoe,칠라고,+1
Branson,브랜슨,-15
Atlangatepec,아틀랑가테펙,-15
Warner Robins,워너 로빈스,-13
Miangas,미앙가스,+2
Phnom Penh,프놈펜,-2
Gyor,죄르,-7
Berbera,베르베라,-6
Puerto LeguIzamo,푸에르토 레기사모,-14
Mkuze,음쿠제,-7
Brookings,브루킹스,-16
Ostrava,오스트라바,-7
Rostock,로스토크,-7
Hechi,허츠,-1
Cachoeiro de Itapemirim,카초에이루 지 이타페미림,-12
Watson Lake,왓슨 레이크,-16
Ukunda,우쿤다,-6
Kuantan,콴탄,-1
Juara,주아라,-12
Ishwardi,이슈와르디,-3
Barrie-Orillia,배리-오릴리아,-13
Miami,마이애미,-13
Vestmannaeyja,베스트만나에이야,-9
Norfolk,노퍽,-13
Babo,바보,+2
Recife,헤시페,-12
Tupile,투필레,-15
Sherbrooke,셔브룩,-13
Bandar Abbas,반다르 압바스,-5.5
Maafaru,마아파루,-4
Novy Urengoy,노비 우렌고이,-5
Bathinda,바틴다,-3.5
Sylt,실트,-7
Gomel,고멜,-6
La Pedrera,라 페드레라,-14
Sharurah,샤루라,-6
Pago Pago,파고파고,-20
Fort Worth,포트워스,-15
Whale Pass,웨일 패스,-17
LasPalmas,라스팔마스,-9
Qiemo,치에모,-3
Bullhead City,불헤드 시티,-16
Blytheville,블라이더빌,-15
Canberra,캔버라,+1
Ustupo,우스투포,-15
Nyagan,냐간,-5
Newport,뉴포트,-13
Kullu,쿨루,-3.5
Farmington,파밍턴,-16
Wuyishan,우이산,-1
Honningsvag,혼닝스보그,-7
Bethel,베델,-18
Yuzhno-Sakhalinsk,유즈노사할린스크,+2
Cincinnati,신시내티,-13
Ban Huoeisay,반 후아이사이,-2
VAxj,벡셰,-7
Zamboanga,삼보앙가,-1
Nunukan,누누칸,-1
Jamnagar,잠나가르,-3.5
Bandar Lampung,반다르 람풍,-2
Necochea,네코체아,-12
Sahand,사한드,-4.5
El Arish,엘 아리시,-7
Palm Springs,팜 스프링스,-17
Sao Joao del Rei,상 조앙 델 레이,-12
Sand Island,샌드 아일랜드,-19
Perugia,페루자,-7
Musiara,무시아라,-6
Bajura,바주라,-3.75
Palma,팔마,-7
Grand Cayman,그랜드 케이맨,-14
Kotlik,코틀릭,-18
Nizhny Novgorod,니즈니 노브고로드,-6
Utapao,우타파오,-2
Lilongwe,릴롱궤,-7
Ben Slimane,벤 슬리만,-8
San Cristobal Island,산 크리스토발 섬,-15
Pathankot,파탄코트,-3.5
Birch Creek,버치 크릭,-18
Korla,코를라,-3
Provincetown,프로빈스타운,-13
Katsina,카치나,-8
Topeka,토피카,-15
Lome,로메,-9
Watertown,워터타운,-13
Velsk,벨스크,-6
Hayward,헤이워드,-17
Port Augusta,포트 오거스타,+0.5
Sui,수이,-8
Xam Neua,삼 느아,-2
Erenhot,어렌호트,-1
Moruya,모루야,+1
Karlstad,칼스타드,-7
Biliran,빌리란,-1
Salamanca,살라망카,-7
Hakkari,하카리,-6
Barra do Garcas,바라 두 가르사스,-13
Franklin,프랭클린,-13
Francisco Beltrao,프란시스코 벨트라오,-12
Isle of Skye,스카이 섬,-8
Alxa Right Banner,알샤 우기,-1
Dubrovnik,두브로브니크,-7
Dubuque,더뷰크,-14
Bokaro,보카로,-3.5
Fangatau,팡가타우,-19
Con Dao Island,콘다오 섬,-2
MaraIntrepid,마라 인트레피드,-6
Colorado Springs,콜로라도 스프링스,-16
Atiu Island,아티우 섬,-20
Kangerlussuaq,캉겔루수아크,-11
Simao,쓰마오,-1
Caruaru,카루아루,-12
Kostroma,코스트로마,-6
Uherske Hradiste,우헤르스케 흐라디슈테,-7
Lydd,리드,-8
Terney,테르네이,+2
Khmelnytsky,흐멜니츠키,-7
Gladstone,글래드스턴,+1
Edremit,에드레미트,-6
Pemba Island,펨바 섬,-6
Loiyangalani,로이앙갈라니,-6
Aripuana,아리푸아나,-13
Porto Velho,포르투 벨류,-13
Da Lat,달랏,-2
Hyannis,하이애니스,-13
TucuruI,투쿠루이,-12
EbonIsland,에본 섬,+3
Kryvyi Rih,크리비 리흐,-7
Baghdad,바그다드,-6
Liping,리핑,-1
Belo sur Tsiribihina,벨로 쉬르 치리비히나,-6
Cumbernauld,컴버놀드,-8
Inhambane,이냠바네,-7
Olyokminsk,올료크민스크,+1
Brescia,브레시아,-7
Livermore,리버모어,-17
Heraklion,이라클리온,-6
Araripina,아라리피나,-12
Limon,리몬,-15
Jiujiang,지우장,-1
Thanh Hoa,탄호아,-2
MontelIbano,몬텔리바노,-14
Rishiri,리시리,+0
Jammu,잠무,-3.5
Kamuela,카무엘라,-19
Labuha,라부하,+2
Kyzyl-Kiya,키질키야,-4
Shenzhen,선전,-1
Kalispell,칼리스펠,-16
Dalnerechensk,달네레첸스크,+2
Paranagua,파라나과,-12
Viseu,비제우,-8
Maputo,마푸투,-7
Socotra,소코트라,-6
Nikolayevsk-on-Amur,니콜라옙스크-온-아무르,+2
Santa Cruz de la Sierra,산타 크루즈 데 라 시에라,-13
Kolkata,콜카타,-3.5
Uman,우만,-7
Bogota,보고타,-14
DuBois,듀보이스,-13
Rioja,리오하,-14
Posadas,포사다스,-12
Kargil,카르길,-3.5
Macas,마카스,-14
Sao Jose do Rio Preto,상 조제 도 리우 프레투,-12
Rost,로스트,-7
Xiangyang,샹양,-1
Grozny,그로즈니,-6
Tulsa,털사,-15
Van,반,-6
Bristol,브리스톨,-8
Vigo,비고,-7
Governador Valadares,고베르나도르 발라다레스,-12
Huron,휴런,-15
Samana,사마나,-13
Eastmain,이스트메인,-14
Farmingdale,파밍데일,-13
Eek,이크,-18
Waingapu,와잉아푸,-1
Dijon,디종,-7
Nightmute,나이트뮤트,-18
Brisbane,브리즈번,+1
London-Southend,런던-사우스엔드,-8
Charlo,샬로,-13
Rumjatar,룸자타르,-3.75
Port McNeill,포트 맥닐,-17
Leon,레온,-7
Santa Clara,산타 클라라,-13
Shinyanga,신양가,-6
Charleston,찰스턴,-13
Kinston,킨스턴,-13
Tanjung Selor,탄중 셀로르,-1
Sharjah,샤르자,-5
Hydaburg,하이다버그,-17
Maroantsetra,마로안세트라,-6
Targu Mures,타르구 무레시,-7
Renmark,렌마크,+0.5
Calais-Dunkerque,칼레-덩케르크,-7
Warrnambool,와남불,+1
Long Bawan,롱 바완,-1
Amdjarass,암드자라스,-8
Tosontsengel,토손첸겔,-1
Nyala,냐알라,-7
Cuenca,쿠엥카,-14
Latacunga,라타쿤가,-14
Arequipa,아레키파,-14
Phongsaly,퐁살리,-2
Nantong,난퉁,-1
Yevlakh,예블라흐,-5
Bloomfield,블룸필드,-14
Boa Vista,보아 비스타,-13
Yinchuan,인촨,-1
Golfito,골피토,-15
Groningen,흐로닝언,-7
Gambell,갬벨,-18
Stavanger,스타방에르,-7
Goulburn Islands,굴번 아일랜드,+0.5
Galiano Island,갈리아노 아일랜드,-17
Humera,후메라,-6
Antofagasta,안토파가스타,-13
Janesville,제인스빌,-14
Beckley,베클리,-13
Parkes,파크스,+1
Thunder Bay,선더 베이,-14
Kristianstad,크리스티안스타드,-7
Great Falls,그레이트 폴스,-16
Lashio,라시오,-2.5
Tarija,타리하,-13
Obo,오보,-8
Long Beach,롱 비치,-17
Boolgeeda,불기다,+1
Vorkuta,보르쿠타,-6
Fort St. John,포트 세인트 존,-16
Arad,아라드,-7
Antsirabe,안치라베,-6
Raleigh,롤리,-13
Colima City,콜리마 시티,-16
IndaSelassie,인다셀라시에,-6
Port Graham,포트 그레이엄,-18
Farafangana,파라판가나,-6
XaiXai,샤이샤이,-7
Sulphur Springs,설퍼 스프링스,-15
Trat,트랏,-2
Bugulma,부굴마,-6
Broughton,브로턴,-15
Francistown,프란시스타운,-7
Bimini,비미니,-13
Bawean,바웨안,-2
Pathein,파테인,-2.5
Tabuk,타북,-7
Le Puy-en-Velay,르 퓌 앙 벨레,-7
Salina Cruz,살리나 크루즈,-15
Surakarta,수라카르타,-2
Shirahama,시라하마,+0
Les Sables dOlonne,레 사블르 돌론,-8
Yanji,옌지,+0
Nadi,나디,+3
Rourkela,루르켈라,-3.5
Stornoway,스토너웨이,-8
Urzhar,우르자르,-4
Saint-etienne,생테티엔,-7
Lar,라르,-4.5
El Bagre,엘 바그레,-14
Latakia,라타키아,-6
Yaroslavl,야로슬라블,-6
Maymana,마이마나,-4.5
Lanai City,라나이 시티,-19
IguazU,이구아수,-12
Alula,알룰라,-6
La Cumbre,라 쿰브레,-12
Aur Atoll,아우르 아톨,+3
Iranshahr,이란샤르,-4.5
Clermont-Ferrand,클레르몽페랑,-7
Ballarat,발라랫,+1
Ivanovo,이바노보,-6
Kirov,키로프,-6
Jaen,하엔,-7
Fort Albany,포트 올버니,-13
Shizuoka,시즈오카,+0
Zhangjiajie,장자제,-1
Kermanshah,케르만샤,-4.5
New Bight,뉴 바이트,-13
Kolhapur,콜하푸르,-3.5
Donakonda,도나콘다,-3.5
Castellon de la Plana,카스테욘 데 라 플라나,-7
Bodo,보되,-7
Hail,하일,-6
Hasvik,하스비크,-7
Haifa,하이파,-7
Sleetmute,슬리트뮤트,-18
Anshun,안순,-1
Pingtung,핑둥,+1
Dushanbe,두샨베,-4
Utkela,우트켈라,-3.5
Tanegashima,다네가시마,+0
St. Thomas Island,세인트 토마스 섬,-13
Angeles,앙헬레스,-1
Dar es Salaam,다르에스살람,-6
Cold Lake,콜드 레이크,-16
Ontario,온타리오,-17
Astrakhan,아스트라한,-5
Lae,라에,+1
Waala,왈라,-9
Londrina,론드리나,-12
Grand Forks,그랜드 포크스,-15
Lifou,리푸,+3
Nagoya,나고야,+0
Madrid,마드리드,-7
Aruba,아루바,-13
Bijie,비제,-1
Hualien,화롄,+1
Tefe,테페,-13
Grande Prairie,그랜드 프레리,-16
Yangon,양곤,-2.5
Retalhuleu,레탈룰레우,-15
Ulaangom,울란곰,-1
Debrecen,데브레첸,-7
Osorno,오소르노,-12
Dire Dawa,디레 다와,-6
Pangkalpinang,팡칼피낭,-2
Srednekolymsk,스레드네콜림스크,+2
Raebareli,라이바렐리,-3.5
Tam Ky,땀끼,-2
Myrtle Beach,머틀 비치,-13
Villahermosa,비야에르모사,-15
Desolation Sound,디솔레이션 사운드,-17
Portage la Prairie,포티지 라 프레리,-14
Changchun,창춘,+1
Toyama,도야마,+0
Taranto,타란토,-7
Cloudbreak,클라우드브레이크,+3
Castro,카스트로,-12
Caracarai,카라카라이,-13
Cauayan,카우아얀,-1
Margate,마게이트,-8
Kugluktuk,쿠글룩툭,-15
Franca,프랑카,-12
Stuyahok,스투야호크,-18
Culebra,쿨레브라,-13
Austin,오스틴,-15
Kingscote,킹스코트,+0.5
Cicia Island,시시아 섬,+3
Merowe,메로위,-7
Lanzarote,란사로테,-9
Ankara,앙카라,-6
Astoria,아스토리아,-17
Vaeroy,베뢰이,-7
Yap,얍,+2
Markovo,마르코보,-18
Wallis Island,왈리스 섬,+3
Daqing,다칭,+1
Little Cayman,리틀 케이맨,-14
Kozushima,고즈시마,+0
Chu Lai,쭈라이,-2
Rio Grande,히우 그란데,-12
Independence,인디펜던스,-14
Jequie,제키에,-12
Toamasina,토아마시나,-6
Enontekio,에논테키외,-6
Giza,기자,-7
Westray,웨스트레이,-8
Ely,엘리,-14
Banyuwangi,바뉴왕이,-2
Charleroi,샤를루아,-7
Yamagata,야마가타,+0
Tallahassee,탤러해시,-13
Natashquan,나타슈칸,-13
Naypyidaw,네피도,-2.5
Cotriguacu,코트리과수,-13
Longreach,롱리치,+1
Kalmar,칼마르,-7
Tana,타나,-6
Chicken,치킨,-18
Floro,플뢰뢰,-7
Teller,텔러,-18
Ouagadougou,와가두구,-9
Chita,치타,+1
AraguaIna,아라과이나,-12
Nampula,남풀라,-7
Bangkok,방콕,-2
Cukurova,추쿠로바,-6
Barretos,바레투스,-12
San Antonio,샌안토니오,-15
Caxambu,카샹부,-12
Seymchan,세이므찬,+2
Liuzhou,류저우,-1
Sampit,삼핏,-2
San Domino,산 도미노,-7
Dera Ismail Khan,데라 이스마일 칸,-4
Shivamogga,시바모가,-3.5
Taba,타바,-7
Parakou,파라쿠,-8
Pakuba,파쿠바,-6
Mys-Kamenny,미스 카멘니,-6
Dakar,다카르,-9
Santa Cruz do Sul,산타 크루즈 두 술,-12
Likiep Atoll,리키엡 아톨,+3
San Antonio De Los Banos,산 안토니오 데 로스 바노스,-13
WrocLaw,브로츠와프,-7
Vadodara,바도다라,-3.5
Buckland,벅랜드,-18
Fukue,후쿠에,+0
Vitebsk,비테프스크,-6
Nondalton,논달톤,-18
Puerto Ordaz,푸에르토 오르다스,-13
Mejato Island,메하토 섬,+3
Mudgee,머지,+1
Jaipur,자이푸르,-3.5
Formosa,포르모사,-12
Mabuiag Island,마부이악 섬,+1
Mar del Plata,마르델플라타,-12
Belem,벨렝,-12
Manicore,마니코레,-13
Isfahan,이스파한,-4.5
Galena,갈레나,-18
Burnie,버니,+1
Reggio di Calabria,레조 디 칼라브리아,-7
Guatemala City,과테말라 시티,-15
Berlin,베를린,-7
Ushuaia,우수아이아,-12
Dibrugarh,디브루가르,-3
Aomori,아오모리,+0
Dickwella,딕웰라,-3.5
Buka Island,부카 섬,+2
Ocala,오칼라,-13
Garden City,가든 시티,-15
LagoAgrio,라고 아그리오,-14
Amook Bay,아묵 베이,-18
Iwakuni,이와쿠니,+0
Lampedusa,람페두사,-8
Morafenobe,모라페노베,-6
Warsaw,바르샤바,-7
San Bernardo de Mompox,산 베르나르도 데 몸폭스,-14
Conakry,코나크리,-9
Qionghai,충하이,-1
Fort Lauderdale,포트 로더데일,-13
Ubon Ratchathani,우본 랏차타니,-2
Khatanga,하탕가,-4
Pardubice,파르두비체,-7
Yam Island,얌 아일랜드,+1
Tapini,타피니,+1
Rundu,룬두,-7
Lugano,루가노,-7
Hilton Head Island,힐턴 헤드 아일랜드,-13
alesund,올레순드,-7
Jayapura,자야푸라,+2
Karpathos,카르파토스,-6
Montgomery,몽고메리,-15
Langzhong,랑중,-1
Magdeburg,마그데부르크,-7
Apataki,아파타키,-19
Patna,파트나,-3.5
Qasigiannguit,카시시안그이트,-11
Wapekeka,와페케카,-14
Talakan,탈라칸,+1
Paulo Afonso,파울로 아폰수,-12
Omsk,옴스크,-5
Fresno,프레즈노,-17
Lutsk,루츠크,-7
Zacatecas,사카테카스,-15
